Tiempo [s],h3_Real [cm],h3_Koopman [cm],h4_Real [cm],h4_Koopman [cm]
0.0,1.9317814174785348,1.7985741012339043,1.340666595139033,1.3970771818056515
0.05,1.8824954806092162,1.798066893644174,1.352243980170164,1.3972901939184255
0.1,1.8523122208436744,1.7966802042431111,1.3655696346581931,1.397602338225302
0.15000000000000002,1.7855742944570754,1.7953450166958023,1.3850478982838534,1.3979638859452734
0.2,1.7946641544965354,1.7941187269708336,1.3688655425923308,1.3981685702437217
0.25,1.8216245679219187,1.7929218002808287,1.3727726823857977,1.3984045454653293
0.30000000000000004,1.7822746160359753,1.7916987445951176,1.364497288693215,1.398633118218011
0.35000000000000003,1.7681985057222993,1.7905009304220465,1.3631254227517813,1.398807270334718
0.4,1.7761675491965319,1.7892922349925104,1.3653410147997087,1.3989889746044062
0.45,1.790572328541834,1.7881490011759473,1.3824082759596805,1.3992029513154518
0.5,1.762071492501213,1.787053776115879,1.3874048093665734,1.3993925227175867
0.55,1.7531516567096528,1.7859482290924755,1.390420719629002,1.3995472016859736
0.6000000000000001,1.7583088118168362,1.7848317560542941,1.4089836878166035,1.3997131886062255
0.65,1.7716053577677302,1.7837084046164207,1.3961480626945675,1.3998699111823194
0.7000000000000001,1.7633005906752244,1.7826374140060541,1.3728203322368546,1.400037409451029
0.75,1.7554524438526529,1.7815699721111766,1.37673564667091,1.400222087146006
0.8,1.760097421064758,1.7805012160603053,1.372675571493932,1.4004129961292848
0.8500000000000001,1.7619101235063128,1.7794260144264347,1.3797420178426485,1.4005938347451097
0.9,1.7670492631253485,1.778362360812952,1.377340847144343,1.4007578116402013
0.9500000000000001,1.7714032656165288,1.7772703913028192,1.3781529804453456,1.4009288606093986
1.0,1.7634826626498337,1.7761951856168445,1.3850422860609175,1.4010923485337616
1.05,1.7620756763631913,1.775146205661035,1.3873403740530075,1.4012468097036799
1.1,1.762182891115855,1.7741018568817475,1.389219708045888,1.4014019489461493
1.1500000000000001,1.7608173004331478,1.7730770221547125,1.383508461201417,1.4015505322987998
1.2000000000000002,1.7658871939540177,1.772062210495238,1.3705971079397847,1.401690488058022
1.25,1.7615043549039664,1.7710570049260639,1.382423426738999,1.4018449098308754
1.3,1.7644909278482388,1.7700782649529458,1.3830886955236124,1.401986106247491
1.35,1.760106537379663,1.7691353280200943,1.3863468111537887,1.402142445534175
1.4000000000000001,1.7615455392100494,1.7681865489249513,1.3871645451172998,1.402303998514971
1.4500000000000002,1.7640164786726575,1.767234024522127,1.390341728194447,1.4024729635260849
1.5,1.7650582185884405,1.7662815462004189,1.397762989989299,1.4026386520487588
1.55,1.7664149943215548,1.7653357158452088,1.400960755455671,1.4028037870028618
1.6,1.764467663738075,1.7644078769529716,1.3972639523429355,1.4029715755189043
1.6500000000000001,1.7606660837137942,1.7634792597846836,1.397766586544953,1.4031313837958492
1.7000000000000002,1.7624278648187255,1.7625709796075655,1.4004268810374316,1.4033066348922996
1.75,1.7612133291315348,1.7616719220659736,1.4013813555747248,1.4034888899271338
1.8,1.7600255848725854,1.7607784655229415,1.4009415292316545,1.4036759841894513
1.85,1.7543454559582374,1.7598890123642401,1.3949570935893882,1.4038662020192487
1.9000000000000001,1.7548153527691934,1.7589933315896316,1.3865207544698197,1.4040500847618183
1.9500000000000002,1.7568625681319723,1.758101481950066,1.3855298534675269,1.4042299250904764
2.0,1.7565760738685454,1.7572072263141651,1.3928308879891773,1.4044156793120155
2.0500000000000003,1.7576353478763345,1.7563069232773019,1.3917063192040784,1.4045956963710653
2.1,1.7573639286743965,1.7554155342712368,1.390787296746695,1.4047800056161188
2.15,1.761159936452034,1.754518620625215,1.3851663029498857,1.4049644022776993
2.2,1.7627361138921782,1.75362382236492,1.3807933349581778,1.4051434759379355
2.25,1.7593247055891779,1.7527223636878113,1.3807204414425596,1.4053246223227474
2.3000000000000003,1.7503084080207685,1.7518347627979807,1.381611787278656,1.4054956757028736
2.35,1.7546004398611803,1.7509616401444112,1.3794569179005811,1.4056678637263378
2.4000000000000004,1.7497372403162523,1.7500778272172453,1.3749646101006554,1.405835665412413
2.45,1.7500494505368729,1.749180216892146,1.380100844002812,1.4059973139784947
2.5,1.7497650753954315,1.7482936140859142,1.3780337862033607,1.406155178044515
2.5500000000000003,1.7488887243932287,1.7474206850907048,1.379757457387739,1.4063117345228824
