Tiempo [s],h3_Real [cm],h3_Koopman_Lin [cm],h4_Real [cm],h4_Koopman_Lin [cm]
0.0,1.9317814174785348,1.9302568883329372,1.340666595139033,1.3373272891706263
0.05,1.8824954806092162,1.9294178006070053,1.352243980170164,1.3376231838969408
0.1,1.8523122208436744,1.927762243801304,1.3655696346581931,1.3380293843718072
0.15000000000000002,1.7855742944570754,1.9261558144433313,1.3850478982838534,1.33848316438254
0.2,1.7946641544965354,1.9246540521191475,1.3688655425923308,1.3387853226301363
0.25,1.8216245679219187,1.9231809834558238,1.3727726823857977,1.3391179618290852
0.30000000000000004,1.7822746160359753,1.921685429402727,1.364497288693215,1.3394447355287429
0.35000000000000003,1.7681985057222993,1.920215628488029,1.3631254227517813,1.3397195866412552
0.4,1.7761675491965319,1.918737299472264,1.3653410147997087,1.3400026545515895
0.45,1.790572328541834,1.9173211399903165,1.3824082759596805,1.3403164575896824
0.5,1.762071492501213,1.91595153857011,1.3874048093665734,1.340606729174548
0.55,1.7531516567096528,1.9145743510141722,1.390420719629002,1.340864288418738
0.6000000000000001,1.7583088118168362,1.9131884821946634,1.4089836878166035,1.3411335638174313
0.65,1.7716053577677302,1.9117979093381543,1.3961480626945675,1.3413946717520204
0.7000000000000001,1.7633005906752244,1.9104574876291596,1.3728203322368546,1.3416659234214354
0.75,1.7554524438526529,1.909121739839683,1.37673564667091,1.3419542289430766
0.8,1.760097421064758,1.9077862557241105,1.372675571493932,1.342249103418148
0.8500000000000001,1.7619101235063128,1.9064464325535586,1.3797420178426485,1.3425349172742433
0.9,1.7670492631253485,1.9051190679631744,1.377340847144343,1.3428048290999135
0.9500000000000001,1.7714032656165288,1.9037667947735868,1.3781529804453456,1.3430824898501244
1.0,1.7634826626498337,1.9024317026775894,1.3850422860609175,1.3433530770598596
1.05,1.7620756763631913,1.9011225979020867,1.3873403740530075,1.3436150109266214
1.1,1.762182891115855,1.8998192683096111,1.389219708045888,1.343877958461878
1.1500000000000001,1.7608173004331478,1.898535632045235,1.383508461201417,1.344134700546781
1.2000000000000002,1.7658871939540177,1.89726287092194,1.3705971079397847,1.3443833763286928
1.25,1.7615043549039664,1.896000321394075,1.382423426738999,1.3446462116276467
1.3,1.7644909278482388,1.894763981131689,1.3830886955236124,1.3448962557480366
1.35,1.760106537379663,1.8935621995657423,1.3863468111537887,1.3451606638831854
1.4000000000000001,1.7615455392100494,1.8923563367386123,1.3871645451172998,1.3454305123691488
1.4500000000000002,1.7640164786726575,1.891148311455641,1.390341728194447,1.3457078692413156
1.5,1.7650582185884405,1.8899417688392475,1.397762989989299,1.3459823652909648
1.55,1.7664149943215548,1.8887428115904297,1.400960755455671,1.3462565065384409
1.6,1.764467663738075,1.887561949843163,1.3972639523429355,1.3465331900961295
1.6500000000000001,1.7606660837137942,1.886381833522401,1.397766586544953,1.3468024564084442
1.7000000000000002,1.7624278648187255,1.8852218298967325,1.4004268810374316,1.3470865242339172
1.75,1.7612133291315348,1.8840716911502635,1.4013813555747248,1.3473774230307327
1.8,1.7600255848725854,1.8829280671315445,1.4009415292316545,1.3476731114305847
1.85,1.7543454559582374,1.8817894857131954,1.3949570935893882,1.3479719500971552
1.9000000000000001,1.7548153527691934,1.8806465307877558,1.3865207544698197,1.3482649777627067
1.9500000000000002,1.7568625681319723,1.8795085285905515,1.3855298534675269,1.3485542383716609
2.0,1.7565760738685454,1.8783695508663574,1.3928308879891773,1.3488494134313331
2.0500000000000003,1.7576353478763345,1.877226341763564,1.3917063192040784,1.3491393252950494
2.1,1.7573639286743965,1.8760927003410908,1.390787296746695,1.349433395434539
2.15,1.761159936452034,1.8749552342048021,1.3851663029498857,1.3497277892998667
2.2,1.7627361138921782,1.873821112452441,1.3807933349581778,1.3500171673144783
2.25,1.7593247055891779,1.8726820741244807,1.3807204414425596,1.350308786513363
2.3000000000000003,1.7503084080207685,1.8715573542152033,1.381611787278656,1.3505905973107548
2.35,1.7546004398611803,1.8704473884096655,1.3794569179005811,1.3508734038875607
2.4000000000000004,1.7497372403162523,1.8693288129902843,1.3749646101006554,1.3511522722685156
2.45,1.7500494505368729,1.8681987526364667,1.380100844002812,1.3514255440842184
2.5,1.7497650753954315,1.8670802596916587,1.3780337862033607,1.3516951109898792
2.5500000000000003,1.7488887243932287,1.8659757796083845,1.379757457387739,1.3519633128023363
2.6,1.7534518725146853,1.8648786708285428,1.3833336891615784,1.3522314781064984
2.6500000000000004,1.754876341765611,1.8637750555460522,1.3842219074860034,1.3525049099191537
2.7,1.755191274346235,1.8626761640640312,1.381191267558812,1.3527781769702305
2.75,1.762011280907693,1.8616018406435895,1.3846634902177448,1.3530516915952577
2.8000000000000003,1.7586369675560756,1.860543771442569,1.3874328393023865,1.3533199671226397
2.85,1.760622119171596,1.8595007194569744,1.3881718675449979,1.353590547403098
2.9000000000000004,1.7562112365587768,1.8584565731620444,1.3954570122380745,1.3538526875953183
2.95,1.7567890247657798,1.857413935321163,1.3956749376754074,1.3541227606902169
3.0,1.7572249665782982,1.8563541765113667,1.3980213331996094,1.3543912844389439
3.0500000000000003,1.7616961817861754,1.855303228166365,1.3992974037414414,1.3546553261382115
3.1,1.7619559784271364,1.854240068598105,1.4026263959713179,1.3549282937626563
3.1500000000000004,1.75968890848786,1.8531699451832826,1.4057130052394118,1.355205493683511
3.2,1.7590359397343378,1.85211410755265,1.4107851163402902,1.3554788677697949
3.25,1.7571698963868574,1.851060961880346,1.409170612901196,1.3557458174886983
3.3000000000000003,1.753643439689962,1.8500181368221935,1.4137521584592,1.3560084979672018
3.35,1.7568316984812915,1.8489789381725614,1.4193420620583734,1.3562724008852955
3.4000000000000004,1.7512054849730667,1.8479355568263183,1.420105051471326,1.3565365924332373
3.45,1.747649375100145,1.8469035344019131,1.4143019420092,1.356801533025208
3.5,1.7461104799689933,1.8458783091404556,1.4114656304793711,1.357068349905424
3.5500000000000003,1.7471517146205073,1.8448636595596357,1.4129971933827512,1.357332948313381
3.6,1.748747533092517,1.8438518849956886,1.4162925537973963,1.3575891797856998
3.6500000000000004,1.7426156996543871,1.8428531044165573,1.415522555592158,1.3578495937520474
3.7,1.743611287805614,1.8418430477529142,1.4139710068109306,1.3581017358176135
3.75,1.742077517388281,1.840827872397191,1.414268856219801,1.3583585312325517
3.8000000000000003,1.7422644959933273,1.8398232567379604,1.415206390639305,1.3586125716767885
3.85,1.7342552325562546,1.838833152204501,1.4149448569320147,1.3588688605662957
3.9000000000000004,1.7350165903309782,1.8378424951808243,1.4163421021949478,1.3591270373580464
3.95,1.735050296717727,1.8368569703822706,1.414862465757309,1.3593908987538121
4.0,1.7348404677132603,1.8358698852785318,1.4160816540136505,1.3596599527244462
4.05,1.7330627804476868,1.8348778964489745,1.4175875665406505,1.3599299513221412
4.1000000000000005,1.7309084142495716,1.8338861444196506,1.4198449206586865,1.3601951490934425
4.15,1.7292823871568888,1.8328986634742817,1.417568909407245,1.3604591743007814
4.2,1.7336266753694667,1.831915212225148,1.421946236742098,1.3607284054772075
4.25,1.738812769553982,1.8309331453958668,1.4220016128951867,1.3609990806098926
4.3,1.7426187675051126,1.8299470309727488,1.4211812728695246,1.3612676219282769
4.3500000000000005,1.7401394670716412,1.8289639299911795,1.4214677195242702,1.3615372176705693
4.4,1.7439586334691892,1.82798798193378,1.4175016237011566,1.3618051488395753
4.45,1.742974409572415,1.8270187263357671,1.4136629664144849,1.3620692159320276
4.5,1.7414151315522086,1.826043826854021,1.4147009625595683,1.3623292109063316
4.55,1.7425269610307168,1.8250714155439358,1.4142526503706756,1.3625919628844785
4.6000000000000005,1.7405441009801286,1.8241067640437185,1.418505956596272,1.3628604095707937
4.65,1.7385257961142617,1.823154336701466,1.4162322872383448,1.3631249520906388
4.7,1.7397129950989463,1.8221981861811212,1.413743728916256,1.3633873526822593
4.75,1.7389095316668153,1.821244318353864,1.412882728794916,1.363648233214594
4.800000000000001,1.738382340441725,1.820293453376862,1.4147314820178398,1.3639028197693883
4.8500000000000005,1.7361682128610785,1.8193476126346166,1.4144198281153244,1.3641583006543017
4.9,1.734532851891654,1.8184070615704762,1.4168536394320188,1.364409988653457
4.95,1.7299430598742818,1.8174743739461192,1.4160145488993756,1.3646589170597883
5.0,1.7325577362266735,1.81653486044953,1.4172237357858417,1.3648999723503934
5.050000000000001,1.731191630434837,1.8156093720850686,1.4195964203332008,1.365138280299111
5.1000000000000005,1.7275139011889251,1.8146923075982158,1.4161989712553265,1.3653809275270077
5.15,1.7297653348913555,1.8137720991419477,1.4164431378686306,1.36562368075376
5.2,1.7288259446002185,1.8128601767438148,1.4135023754260025,1.3658646142725561
5.25,1.7329087966648156,1.8119599292586657,1.4123962312278004,1.3661069059559925
5.300000000000001,1.7316353187097082,1.8110646379483222,1.4115307722202555,1.3663481874817733
5.3500000000000005,1.731155766740553,1.8101713833813304,1.4110407035341466,1.3665950826011588
5.4,1.7300521086191352,1.809272566126062,1.4095957274818396,1.366842458187806
5.45,1.7314660300527112,1.8083858184431079,1.4111779294307563,1.3670914875153635
5.5,1.7363951580838037,1.807500382782191,1.4090510840929094,1.3673465948285894
5.550000000000001,1.7315281982671733,1.8066126212472724,1.4087625104196837,1.3676048990011835
5.6000000000000005,1.7295227744512534,1.8057394095363284,1.4110876630455707,1.3678659685202044
5.65,1.7315152755514378,1.804860159011379,1.412758516549914,1.3681233178886045
5.7,1.7245954182870162,1.8039804374619992,1.4138185224755988,1.368369920283389
5.75,1.7236674761425255,1.8031075719669445,1.410631984186061,1.368616163774684
5.800000000000001,1.7280344135730417,1.8022233798193152,1.4109430676550685,1.3688621717127447
5.8500000000000005,1.7337722037607997,1.8013404156250143,1.4134088953014659,1.3691127094351225
