Tiempo [s],h1_Real [cm],h2_Real [cm],h3_Real [cm],h4_Real [cm],h1_Ref [cm],h2_Ref [cm],v1_Bomba [V],v2_Bomba [V]
0.0,12.395111372794993,12.704800954753312,1.8021404049593601,1.3978582648266809,12.0,16.0,2.499998409178044,3.500013901330493
0.20002667022269635,12.378429557365546,12.718323834172729,1.8109180171385815,1.3912931219545914,12.0,16.0,1.9999944802956913,4.0000297398015645
0.4000533404453927,12.355941187146968,12.737155397539519,1.8237166186570233,1.3825445447390912,12.0,16.0,1.499993594701412,4.500052879005056
0.600080010668089,12.322981692469904,12.763631844735075,1.842302404931606,1.3698590967954436,12.0,16.0,0.9999955648411984,5.000071806288738
0.8001066808907854,12.28226678842213,12.795303248567349,1.8647979287028458,1.3542528410209302,12.0,16.0,0.4999935139991259,5.500057662705941
1.0001333511134818,12.236164164981261,12.832257301944834,1.8912606032033645,1.336611274381441,12.0,16.0,0.00012125301594946672,6.000080583426541
1.200160021336178,12.196667321929484,12.868575074183845,1.9171713978403475,1.3214271105647708,12.0,16.0,0.500119569331586,5.9999844475262
1.4001866915588745,12.159257965161778,12.905392516847238,1.94339015316956,1.3070016969559068,12.0,16.0,0.945321224650976,5.999982712964322
1.6002133617815708,12.121534325863328,12.942029246568602,1.9693985101590448,1.2924342011345675,12.0,16.0,0.44531274708583013,5.999985917807333
1.800240032004267,12.091927954409918,12.978495227866375,1.9951995345380764,1.2808828001517163,12.0,16.0,0.9453150272398603,5.999986609159504
2.0002667022269636,12.070902965973605,13.013069697196903,2.0194724461855325,1.2725134949902146,12.0,16.0,1.4453141336656867,5.999986161148568
2.20029337244966,12.056954902873569,13.04926171906099,2.044878057897796,1.2667526131748224,12.0,16.0,1.9452635582067734,5.999987260999319
2.400320042672356,12.055986305562696,13.084395080510724,2.069358392230393,1.2658000161613208,12.0,16.0,2.4452618004177937,5.999986613644943
2.6003467128950524,12.061273257780098,13.11982494732555,2.093930773440533,1.2671227528901676,12.0,16.0,2.7726448582761827,5.999983130315264
2.800373383117749,12.05528073446612,13.155756405207397,2.118757251418231,1.2641491688528166,12.0,16.0,2.4693166773288464,5.999987804168365
3.0004000533404453,12.041221106138831,13.190452454896171,2.142537595267102,1.2580996112584009,12.0,16.0,1.9693181878362234,5.999986000499058
3.2004267235631416,12.04306597734889,13.224353815121534,2.165606026836263,1.25796115164856,12.0,16.0,2.4693110215609733,5.999988228577054
