Tiempo [s],h3_Real [cm],h3_PINN [cm],h4_Real [cm],h4_PINN [cm]
0.05,1.8824954608532067,1.9298044937237797,1.3522440483273148,1.3409402465208258
0.1,1.852312208632997,1.8797487203050198,1.3655696880623107,1.3531540252031893
0.15000000000000002,1.785574245985056,1.849730235070659,1.385047872924045,1.366342269558526
0.2,1.7946642034297433,1.7834152679706694,1.368865607756506,1.3852537519820391
0.25,1.8216245135479676,1.7924047425186835,1.3727727442798399,1.3694063434666917
0.30000000000000004,1.7822746934758247,1.819315435305942,1.3644973477990505,1.3732248792311799
0.35000000000000003,1.7681985063277512,1.7800687506292974,1.3631253914430754,1.3649897169114122
0.4,1.776167548974769,1.766018620381448,1.3653409811115382,1.3635952180113187
0.45,1.7905723339184845,1.7740438335918234,1.3824082551472254,1.365683114154553
0.5,1.7620715461001777,1.7885161792409106,1.387404852853403,1.3825252480977142
0.55,1.7531516606389899,1.7600979309448712,1.3904207028380748,1.3874067076196914
0.6000000000000001,1.7583087424725887,1.7512017619437676,1.4089836318737294,1.3903609222938615
0.65,1.7716054070247327,1.756398475230402,1.3961480784618174,1.408737090631724
0.7000000000000001,1.7633005892323106,1.7696647140607273,1.3728203975060145,1.3960376485305024
0.75,1.7554524693258544,1.7612996689420386,1.3767356664661508,1.37298290356773
0.8,1.760097462856843,1.753497577691667,1.3726755830612023,1.376768909585009
0.8500000000000001,1.7619100557305245,1.7581107412367531,1.3797419572707215,1.3727700334675723
0.9,1.7670491941897175,1.759957504536477,1.377340890973435,1.3797313993703113
0.9500000000000001,1.7714031929966454,1.765052174633012,1.3781529932590226,1.3773727073489948
1.0,1.7634826754751949,1.7694181876993247,1.3850423086251802,1.3781582722092276
1.05,1.7620756028630868,1.7615502520663506,1.3873403640563045,1.3849792465713802
1.1,1.7621829510508369,1.7601603426819352,1.3892196703292772,1.3872277940100415
1.1500000000000001,1.7608172262145338,1.7602929676231962,1.383508416904809,1.389064012635395
1.2000000000000002,1.7658872436749284,1.7589273988162357,1.3705971034237392,1.3833872863987542
1.25,1.7615043794396086,1.7639540401193707,1.382423378626191,1.3706039517915725
1.3,1.764490937087464,1.7596407649708774,1.3830886690263482,1.3822849845262226
1.35,1.7601065125587174,1.7626483865799918,1.3863467800231295,1.382933296681126
1.4000000000000001,1.7615455711860708,1.7582789408681407,1.3871645892819118,1.3861431837544131
1.4500000000000002,1.7640164518564347,1.7596994320037174,1.39034166125933,1.38699808833896
1.5,1.7650582597773758,1.7621740573783053,1.3977630092015514,1.3901443426611275
1.55,1.7664149349118046,1.763238489553932,1.4009607689568,1.3974954948330558
1.6,1.7644676887154076,1.7646174768843612,1.397263934395686,1.4006477414770777
1.6500000000000001,1.7606660337814963,1.762668982453223,1.3977665760597981,1.3969616074907036
1.7000000000000002,1.762427917118813,1.7588774694265845,1.4004268816144478,1.3974846515839863
1.75,1.7612133847155476,1.7606543315807968,1.40138137288124,1.4001052936749336
1.8,1.7600255333298769,1.7594460403512375,1.4009415079222685,1.4010469442520381
1.85,1.7543454411396817,1.7582611535230774,1.3949570331561103,1.4006097901053338
1.9000000000000001,1.7548154015197737,1.7525754442765464,1.386520700031234,1.3946559903200966
1.9500000000000002,1.756862506495473,1.7530113902599385,1.3855298268103264,1.386340074329626
2.0,1.7565760366223493,1.7550397717145187,1.3928309002924724,1.385391575384688
2.0500000000000003,1.7576353198296681,1.75477296153857,1.391706341224482,1.3926049041539674
2.1,1.7573639848027822,1.755830840481805,1.390787233191496,1.3914946125189633
2.15,1.7611598666510153,1.755552796193185,1.3851662926178323,1.3905820675051512
2.2,1.7627360750705667,1.7593230892292215,1.3807933244074915,1.3850323214220897
2.25,1.759324649522648,1.7608774535408005,1.3807204178249308,1.3807035822540068
2.3000000000000003,1.7503083379276965,1.7574863118074278,1.3816118470379228,1.3806148388208312
2.35,1.754600393085588,1.7485027663744346,1.3794568939596525,1.3814774478191907
2.4000000000000004,1.7497372705335608,1.7527689206614447,1.3749646500095452,1.379358448672046
2.45,1.7500494852482233,1.7478967484075432,1.38010078321033,1.3748964516798698
2.5,1.7497650437565542,1.7482353320811155,1.378033717519256,1.3799514031869622
2.5500000000000003,1.7488887829681756,1.7479585360272365,1.3797575087726766,1.377892041909701
2.6,1.7534518610942678,1.747091324940732,1.3833336408507253,1.3796038485194126
2.6500000000000004,1.7548764089927538,1.7516442611595515,1.3842219312284605,1.3831567246816936
2.7,1.7551912762062416,1.7530669367059255,1.381191243113483,1.3840424469214911
2.75,1.762011318773911,1.753389293327861,1.3846635082793906,1.3810448592510423
2.8000000000000003,1.7586370282095454,1.7602174494213487,1.3874328170220565,1.3844818838574733
2.85,1.7606221895362089,1.7568587617912492,1.3881718700507537,1.3872491951595212
2.9000000000000004,1.75621124001921,1.7588344053280103,1.3954569640079548,1.3880082225943993
2.95,1.7567890166750801,1.7544493566818933,1.3956749703839875,1.39522012462038
3.0,1.7572249626584722,1.755010750256784,1.3980213924129357,1.3954369896017738
3.0500000000000003,1.7616961395017376,1.7554579303528475,1.3992974716192421,1.3977588716459854
3.1,1.7619559283572666,1.7599032063252313,1.402626349083636,1.3990512157258963
3.1500000000000004,1.7596889780377591,1.7601690803251242,1.4057129655359202,1.4023324399641155
3.2,1.7590359952387271,1.7579238180842465,1.410785180636926,1.405391377596406
3.25,1.7571698843005132,1.757296268068068,1.4091706779201816,1.4103864058849553
3.3000000000000003,1.7536434651270543,1.7554317174232807,1.4137520933264542,1.4087972991989266
3.35,1.756831768714969,1.7519297948566193,1.4193420735705375,1.4133152245284097
3.4000000000000004,1.7512055066479915,1.7551205949140165,1.420105095886652,1.4188692508413672
