Tiempo [s],h1_Real [cm],h2_Real [cm],h1_Classical [cm],h2_Classical [cm]
0.0,12.54572049122005,13.004145693768995,12.6,13.0
0.05,12.5513615878767,12.869929491117908,12.599901148732581,12.999297115847634
0.1,12.736070579767826,13.032803767912974,12.599971162325389,12.99832112591046
0.15000000000000002,12.696492693728887,13.048837106169962,12.599720261098835,12.99747283068023
0.2,12.683677812386373,12.868747728329247,12.599397883811557,12.996680796420378
0.25,12.701142605260381,13.15681400888185,12.599312012848788,12.995775828568751
0.30000000000000004,12.77075299854978,12.941752385315691,12.598916780690718,12.994881714244926
0.35000000000000003,12.610002713243778,12.950607210073146,12.59856149828665,12.994002125730075
0.4,12.413879773651729,13.019461366593646,12.598590345876383,12.99325788094067
0.45,12.537973936915462,12.953951539607155,12.59831636833932,12.992710730080027
0.5,12.698342769691244,12.938637279327956,12.59772518723698,12.991989526995896
0.55,12.611259618383487,13.028798117470544,12.597289185666206,12.991072873852652
0.6000000000000001,12.674533842301596,13.024561751032877,12.597056795381706,12.99015710918616
0.65,12.486582274254248,12.933914875172675,12.59683881619017,12.989497475961477
0.7000000000000001,12.658341753619796,12.941644331833023,12.596853019939225,12.988851868703117
0.75,12.379254090587311,13.054595787973076,12.596874030586385,12.988041431668924
0.8,12.544476113490546,12.870873936300484,12.596643457930409,12.987174182973243
0.8500000000000001,12.540988648902012,12.976315497960151,12.596158688135084,12.986340823973263
0.9,12.509908099509975,12.973160559402693,12.595903711093381,12.985341822423223
0.9500000000000001,12.495353183118615,12.977951303419205,12.595604493900105,12.984498379889784
1.0,12.80642814477534,12.949954853977198,12.595138381831545,12.98391854705555
1.05,12.486400033447605,12.974656424254578,12.594813688854597,12.9832277601196
1.1,12.574520291211622,13.029770992053185,12.59445804773845,12.982573241992808
1.1500000000000001,12.459124044801177,12.926298510317794,12.593975731201523,12.98195857848626
1.2000000000000002,12.540606090361571,13.185333877192383,12.593755669905732,12.981283653704168
1.25,12.66105507797109,12.960290150818034,12.593483171143527,12.980730269726015
1.3,12.408350504044344,12.937066805459066,12.593221806810737,12.980357054628891
1.35,12.585560224163608,13.077324249640741,12.59325577093363,12.979781535039635
1.4000000000000001,12.667107828507824,12.836535018312802,12.5932189857588,12.978944514602714
1.4500000000000002,12.613804138570696,13.031625116767204,12.593029770336521,12.978136245453012
1.5,12.626064221947773,12.982147720789602,12.59272890060541,12.977404748079003
1.55,12.582303137751211,13.086366933414077,12.592492605917784,12.976797524078039
1.6,12.50936120365593,13.059468840033066,12.592150316374367,12.976167106312968
