Tiempo [s],v1_Bomba [V],v2_Bomba [V],h1_Real [cm],h2_Real [cm],h3_Real [cm],h4_Real [cm]
0.0,3.0731120536482925,2.9153593451467827,12.345720491220051,12.704145693768995,1.9317814174785348,1.340666595139033
0.05,3.1459008783190785,2.570168385154078,12.35219665482018,12.569857137963842,1.8820026261690674,1.3523597528627485
0.1,3.205923881521392,2.6111620677258216,12.537900054373226,12.732426958747649,1.8218578903695064,1.3790149645766774
0.15000000000000002,2.887662165862981,2.7179260059648276,12.49894617069396,12.748293755323537,1.6517678942411032,1.4241008997677391
0.2,3.157082461698006,2.6753382529053287,12.486877920795486,12.56808090182734,1.8218969227552464,1.320384010366952
0.25,3.081963456759824,2.5894393119896177,12.505290868655761,12.855915854139733,1.9289282578946039,1.3883232791241762
0.30000000000000004,2.901040660503098,2.6872428081372215,12.575539080587127,12.640608803900866,1.58728111581398,1.3234896659517963
0.35000000000000003,3.1001361233351292,2.60643247438275,12.41540854403686,12.649278503377237,1.6848663596025202,1.3550038230668726
0.4,3.2212572951457084,2.8286671084510577,12.220200956198003,12.71797297971039,1.8309352221937252,1.380567788397874
0.45,2.9573694877452064,2.8186266958284247,12.345121969217384,12.652500100608185,1.9030889233890917,1.5157216758428365
0.5,2.873600668704576,2.63329455552946,12.505987315522145,12.637079334643643,1.5131422483791097,1.431045047934873
0.55,3.1330074673047204,2.6196326178560483,12.419543316896107,12.72700027168177,1.6671620856804321,1.4194948904757592
0.6000000000000001,3.0024454869035213,2.628757592200529,12.48353390457682,12.722516029941172,1.8126045818396461,1.604419084020001
0.65,3.1346625583558274,2.9061302466355152,12.296365306724955,12.63184275708353,1.9231441634455377,1.249862304851523
0.7000000000000001,3.2061185167909305,2.6912140856424855,12.469054768912482,12.639570463980686,1.6616082625906534,1.0871709946034267
0.75,3.1332353140503137,2.6660842570439014,12.190888522582476,12.75237053384733,1.652862123583229,1.4279163101862795
0.8,2.9943710913146346,2.6348235999133722,12.356860741688692,12.568451028770946,1.8245541233945552,1.3163353473832395
0.8500000000000001,2.915957333380689,2.738551542431677,12.353933660222637,12.67374192986764,1.7884817584110881,1.4833260524574046
0.9,3.145286748992096,2.489373442133042,12.323569723896004,12.670307314254897,1.8462802229520507,1.3403216039951955
0.9500000000000001,2.9917034348738913,2.769498818821228,12.3097903083143,12.674846746905393,1.8417290892420055,1.3912705529323581
1.0,2.9658699143080445,2.8451016718481097,12.621437050436025,12.646897730891963,1.62991940163614,1.5012150229099706
1.05,3.0709521944003013,2.7049261306830004,12.302084455556697,12.67157013142232,1.7373840722435059,1.427670176462314
1.1,2.9838890273030447,2.8181039432085875,12.390909757783291,12.726662467486126,1.7641354299780665,1.4234451533788168
1.1500000000000001,2.95461427863448,2.7564359944236667,12.276012458330365,12.623192739018673,1.7350768011992632,1.2758551600429886
1.2000000000000002,3.2338759516879367,2.756244121354229,12.35822762709035,12.882167503371782,1.8645626503387827,1.1193031368944437
1.25,2.889086988016901,2.901168408424617,12.479475176037022,12.657168259698716,1.673616664598385,1.619572870789027
1.3,3.246806552616529,2.9923404453229265,12.227544830829125,12.63417116081886,1.8260699041028825,1.3968056116864105
1.35,3.1384956382874343,2.6555955030542466,12.405754498500182,12.774509147200293,1.6673278650539676,1.4552922311883205
1.4000000000000001,3.1736185749027697,2.669010863119444,12.488189921331772,12.533548621610404,1.792744056471576,1.4048935616044367
1.4500000000000002,3.029023593080524,2.7006477571916205,12.435658687245239,12.72848677658823,1.8188161372401073,1.4608042184612735
1.5,3.063597463889348,2.75983851310859,12.44863239510511,12.678924610272716,1.7886563637337094,1.5658740610375237
1.55,3.10692770595572,2.8684183615411154,12.405657142235631,12.783185301471024,1.7977647986699687,1.4748486643238299
