Tiempo [s],h3_Real [cm],h3_Koopman [cm],h4_Real [cm],h4_Koopman [cm]
0.0,1.8,1.8,1.4,1.4
0.05,1.7990460431541546,1.7994409394270985,1.4001854881342908,1.4001223857390606
0.1,1.7977092322097676,1.7980620815161112,1.4004863262064084,1.4003583170110294
0.15000000000000002,1.7965658855442495,1.796783219249972,1.4005535681150618,1.4006869802022643
0.2,1.7955050171852038,1.7957609561802317,1.4006260854444608,1.400521641777642
0.25,1.7942874458788836,1.7946390762842965,1.400856869001913,1.400774441018753
0.30000000000000004,1.7930653129363867,1.793315151529185,1.4008609345465723,1.4009107090462827
0.35000000000000003,1.7918951148724087,1.7922264690143614,1.4008730227128723,1.400766194591209
0.4,1.7908684584376142,1.7909474958867824,1.4011361744986668,1.4009308406050145
0.45,1.790120729456661,1.790199250493865,1.4012945795396876,1.4012826329995678
0.5,1.7891278009965863,1.7894288620910215,1.4011581820062275,1.4012249205482317
0.55,1.787892565614736,1.7882193718959463,1.4011643184657423,1.4010379371228363
0.6000000000000001,1.7866693165162133,1.786979429365832,1.4012815963777563,1.4012535223684153
0.65,1.7857886591732495,1.7857636895829887,1.4014093523526132,1.4012664588257353
0.7000000000000001,1.7849738298478,1.7852096703861315,1.4016818832958917,1.4014838471249196
0.75,1.7839011276719043,1.7841456707941123,1.4019479998553739,1.4018122360059648
0.8,1.7827469144696964,1.7830240525799173,1.4020600512312273,1.4020272870336676
0.8500000000000001,1.7816819597028994,1.781830412317422,1.4020053437857063,1.402026895886845
0.9,1.7804327486592482,1.7808857912398826,1.4020692273470607,1.4019048133518253
0.9500000000000001,1.7792307968408454,1.7793502860736516,1.402188082256399,1.4021390587825946
1.0,1.7784699921190883,1.7784839539563753,1.4021613091677811,1.4021343479734714
1.05,1.7776191169554627,1.7777991212271373,1.4022040517089203,1.402089516778159
1.1,1.7767645680637532,1.7767822490563023,1.402265701981291,1.4022080361832863
1.1500000000000001,1.7759498154284956,1.7760365672498597,1.4021944721875876,1.4021912455279553
1.2000000000000002,1.7750490371642682,1.775145772689452,1.4023541871507708,1.4021293043501162
1.25,1.7743339447082165,1.7742559967850675,1.402464398876061,1.4025004625913557
1.3,1.7739335848426756,1.7737129358847532,1.4026057385804271,1.4023363125371808
1.35,1.7732277190134562,1.7733874165086403,1.4029249427003903,1.4027268458376598
1.4000000000000001,1.7721299614607815,1.7722620357186318,1.4031842647757748,1.4029496505488324
1.4500000000000002,1.7710747540422804,1.7711707192572306,1.403340125910565,1.403226611066344
1.5,1.770133156890376,1.7701569170499662,1.4034155918230806,1.403278994853154
1.55,1.7693967744940664,1.7692858190668175,1.4035578707572427,1.4033848416527746
1.6,1.7685920388993672,1.7686745927787406,1.4036198630104597,1.4035575383242092
1.6500000000000001,1.7678277376209153,1.767663896381997,1.4038318551837752,1.4034966010581604
1.7000000000000002,1.7671821794754632,1.7671318643504528,1.404215673847234,1.4039663657556216
1.75,1.7663866539800983,1.7663674995868754,1.4044928792212648,1.4042598410184712
1.8,1.7655339090998103,1.7655287909426634,1.4047293525349405,1.4045116893124265
1.85,1.7645224692084824,1.764658505085774,1.4048322751361761,1.4047284135075964
1.9000000000000001,1.7636116515655051,1.7635456970766732,1.4048314237542072,1.4047188300843199
1.9500000000000002,1.762675846361549,1.762672404133523,1.4050003163337474,1.4047542498678993
2.0,1.7616106704543408,1.761644627504116,1.4051653424929431,1.4050422644806926
