Tiempo [s],h1_Real [cm],h2_Real [cm],h1_Classical [cm],h2_Classical [cm]
0.0,12.345720491220051,12.704145693768995,12.4,12.7
0.05,12.35219665482018,12.569857137963842,12.401031905111436,12.700204626776499
0.1,12.537900054373226,12.732426958747649,12.402264078178684,12.699926570730389
0.15000000000000002,12.49894617069396,12.748293755323537,12.40344373068368,12.699730406036863
0.2,12.486877920795486,12.56808090182734,12.40446167699256,12.699742583647533
0.25,12.505290868655761,12.855915854139733,12.405349763648415,12.699660273843115
0.30000000000000004,12.575539080587127,12.640608803900866,12.406072036486883,12.699604343051583
0.35000000000000003,12.41540854403686,12.649278503377237,12.406683611283901,12.699792901344058
0.4,12.220200956198003,12.71797297971039,12.407322936336218,12.700129566235905
0.45,12.345121969217384,12.652500100608185,12.408088828519604,12.70053434126673
0.5,12.505987315522145,12.637079334643643,12.40904047328885,12.700943616000377
0.55,12.419543316896107,12.72700027168177,12.410197424677774,12.701310166024928
0.6000000000000001,12.48353390457682,12.722516029941172,12.411539605299213,12.701603152952707
0.65,12.296365306724955,12.63184275708353,12.41300730634503,12.701808124420271
0.7000000000000001,12.469054768912482,12.639570463980686,12.414501187586112,12.701927014088417
0.75,12.190888522582476,12.75237053384733,12.415882277372365,12.701978141642186
0.8,12.356860741688692,12.568451028770946,12.416971972632721,12.701996212790853
0.8500000000000001,12.353933660222637,12.67374192986764,12.417552038875138,12.702032319267932
0.9,12.323569723896004,12.670307314254897,12.417764408018954,12.70209842385393
0.9500000000000001,12.3097903083143,12.674846746905393,12.418050400929122,12.702156635922197
1.0,12.621437050436025,12.646897730891963,12.418422442202372,12.702218299389385
1.05,12.302084455556697,12.67157013142232,12.418887835084861,12.702293365318038
1.1,12.390909757783291,12.726662467486126,12.419451465347837,12.70239004284712
1.1500000000000001,12.276012458330365,12.623192739018673,12.420115801287636,12.702514799192024
1.2000000000000002,12.35822762709035,12.882167503371782,12.420880893725693,12.702672359644556
1.25,12.479475176037022,12.657168259698716,12.421744376008528,12.702865707572958
1.3,12.227544830829125,12.63417116081886,12.422701464007751,12.70309608442188
1.35,12.405754498500182,12.774509147200293,12.423744956120073,12.70336298971241
1.4000000000000001,12.488189921331772,12.533548621610404,12.424865233267285,12.70366418104205
1.4500000000000002,12.435658687245239,12.72848677658823,12.426050258896277,12.703995674084727
1.5,12.44863239510511,12.678924610272716,12.427285578979028,12.704351742590791
1.55,12.405657142235631,12.783185301471024,12.428554322012605,12.70472491838702
1.6,12.333391831648802,12.75626846409079,12.429837199019174,12.705105991376605
1.6500000000000001,12.56413841429031,12.610064510925286,12.431112503545986,12.705484009539171
1.7000000000000002,12.223241824359555,12.68994702250582,12.432356111665387,12.705846278930759
1.75,12.54407880620959,12.847358269827245,12.433541481974812,12.706178363683833
1.8,12.360733933324855,12.659784893269071,12.434639655596788,12.706464086007285
1.85,12.257966789404506,12.658604127522093,12.435619256178935,12.706685526186426
1.9000000000000001,12.468945578718818,12.493682200647005,12.436446489893962,12.706823022582995
1.9500000000000002,12.49050735989126,12.606245149582923,12.437134260135275,12.706892269956864
2.0,12.495971106981827,12.819535121402684,12.437806426800087,12.706988481174093
2.0500000000000003,12.369654260023596,12.666002011593735,12.438471718224939,12.707115371345072
2.1,12.351165761702447,12.688439883562406,12.439130255691403,12.707270060435878
2.15,12.359737166791442,12.591128147488451,12.439782182388514,12.70744972944724
2.2,12.403259859442933,12.809495620304478,12.440427663412766,12.707651620414543
2.25,12.42870029968621,12.664334820066605,12.441066885768103,12.707873036407811
2.3000000000000003,12.654728245053578,12.85681816238705,12.441700058365933,12.708111341531726
2.35,12.45319282575441,12.733926777593544,12.442327412025119,12.708363960925617
2.4000000000000004,12.496544503606353,12.861312157320805,12.442949199471975,12.708628380763468
2.45,12.391498146778352,12.819191306502477,12.443565695340281,12.708902148253909
2.5,12.493755003572378,12.878416040617747,12.44417719617127,12.709182871640218
2.5500000000000003,12.511138753885698,12.698630338795445,12.44478402041363,12.709468220200332
2.6,12.379268704124385,12.718205782014655,12.44538650842351,12.709755924246831
2.6500000000000004,12.398331571823071,12.621207568502882,12.445985022464512,12.710043775126948
2.7,12.410760098896633,12.64444291148799,12.4465799467077,12.710329625222567
2.75,12.414142166313026,12.736159805211111,12.447171687231592,12.710611387950218
2.8000000000000003,12.46654501356191,12.369838473436813,12.44776067202216,12.71088703776109
2.85,12.477564804672243,12.471674941826345,12.448347350972838,12.711154610141012
2.9000000000000004,12.44524367946494,12.62088209704025,12.448932195884517,12.711412201610472
2.95,12.357944286888142,12.682869708246743,12.449515700465541,12.711657969724605
3.0,12.390819592507443,12.600562274257554,12.450098380331715,12.711890133073194
3.0500000000000003,12.488494584102323,12.731958110755201,12.450680773006297,12.712106971280676
3.1,12.187962942961711,12.664884573153842,12.451263437920005,12.712306825006136
3.1500000000000004,12.45699347266707,12.51943989501527,12.451846956411016,12.71248809594331
3.2,12.220278907926373,12.666029183296901,12.452431931724957,12.71264924682059
3.25,12.60346496060706,12.654596524252433,12.45301898901492,12.712788801401006
3.3000000000000003,12.467651648328186,12.801632033919576,12.453608775341449,12.712905344482248
3.35,12.509956559603971,12.690292130996628,12.454201959672545,12.712997521896657
3.4000000000000004,12.309404035295445,12.793558668162405,12.454799232883671,12.713064040511217
3.45,12.565725031036296,12.692638649235219,12.45540130775774,12.713103668227566
3.5,12.410020689927636,12.477472991635214,12.456008918985127,12.713115233981997
3.5500000000000003,12.548862855568132,12.602429453120891,12.456622823163663,12.713097627745448
3.6,12.332044110867901,12.55654708165677,12.457243798798634,12.713049800523505
3.6500000000000004,12.347930204013723,12.661744724597321,12.457872646302786,12.712970764356413
3.7,12.63751260217559,12.591376781157608,12.45851018799632,12.71285959231906
3.75,12.501845493237205,12.520339712675147,12.459157268106893,12.712715418520986
3.8000000000000003,12.336064340940954,12.532821508661193,12.459814752769622,12.712537438106386
3.85,12.45688202365767,12.580946639103868,12.460483530027082,12.712324907254096
3.9000000000000004,12.390372551325838,12.625957532758893,12.461164509829299,12.712077143177613
3.95,12.450727423490381,12.760066245009325,12.46185862403376,12.711793524125074
4.0,12.293750777164675,12.6550420397409,12.462566628191954,12.71147376989968
4.05,12.453800590879798,12.651060161580883,12.463260860963274,12.711158298224477
4.1000000000000005,12.28753008016293,12.593880434501164,12.46392350486945,12.710874900580624
4.15,12.597078166353059,12.74746642426034,12.464557717191628,12.710621807977596
4.2,12.306241641803561,12.58864454562729,12.46516650570249,12.710397296785814
4.25,12.445071881859011,12.656925792192293,12.465752728666263,12.710199688736637
4.3,12.44745516163318,12.729802307539904,12.46631909483871,12.710027350922369
4.3500000000000005,12.34792132257102,12.653775238184343,12.46686816346713,12.709878695796252
4.4,12.410298912247631,12.74841538973112,12.46740234429036,12.709752181172476
4.45,12.363339009640901,12.741513693061558,12.467923897538778,12.70964631022617
4.5,12.511655010818929,12.858534957178628,12.4684349339343,12.709559631493399
