Time_s,h1_ref,h2_ref,h1_pinn_nmpc,h2_pinn_nmpc,v1_pump,v2_pump
0.0,12.0,16.0,12.411453854379477,12.70207886192008,3.5,3.5
0.20002667022269635,12.0,16.0,12.43269275317423,12.710920393264182,4.0,4.0
0.4000533404453927,12.0,16.0,12.458170008449617,12.72829773341232,4.5,4.5
0.600080010668089,12.0,16.0,12.478056605794157,12.754562604607772,4.0,5.0
0.8001066808907854,12.0,16.0,12.503445818911894,12.78714887399152,4.5,5.5
1.0001333511134818,12.0,16.0,12.51964075756388,12.824962792800651,4.0,6.0
1.200160021336178,12.0,16.0,12.528879965596094,12.861073215500332,3.5,6.0
1.4001866915588745,12.0,16.0,12.530941404250754,12.898783770244592,3.0,6.0
1.6002133617815708,12.0,16.0,12.527406797842799,12.935746496576789,2.8512074820484714,6.0
1.800240032004267,12.0,16.0,12.519338514502515,12.973265379638093,2.3512074820484714,6.0
2.0002667022269636,12.0,16.0,12.516031819352728,13.010539358872409,2.5933646260971166,6.0
2.20029337244966,12.0,16.0,12.516427032463199,13.04691401353749,3.0933646260971166,6.0
2.400320042672356,12.0,16.0,12.528166590717255,13.084166404570329,3.5933646260971166,6.0
2.6003467128950524,12.0,16.0,12.5329823431371,13.121350084224868,3.0933646260971166,6.0
2.800373383117749,12.0,16.0,12.5295033659603,13.158446093870772,2.5933646260971166,6.0
3.0004000533404453,12.0,16.0,12.529824912260437,13.195448802129667,2.7645749162680486,6.0
3.2004267235631416,12.0,16.0,12.519851270356003,13.232350087943773,2.2645749162680486,6.0
3.400453393785838,12.0,16.0,12.507956778134979,13.267339658103824,1.9580904166265318,6.0
3.600480064008534,12.0,16.0,12.49680916813179,13.30239242441814,1.974450032960935,6.0
3.800506734231231,12.0,16.0,12.494871884106994,13.338960974144415,2.474450032960935,6.0
4.000533404453927,12.0,16.0,12.478540875371316,13.375417398855825,2.0443500922086946,6.0
4.200560074676623,12.0,16.0,12.461122695860727,13.410605678254308,1.7138257984435656,6.0
4.40058674489932,12.0,16.0,12.453986248326787,13.444659318055184,2.2138257984435654,6.0
4.600613415122016,12.0,16.0,12.450731525114296,13.480769523400415,2.3837006051540746,6.0
4.800640085344712,12.0,16.0,12.440832140106638,13.516774113936012,2.068561265210703,6.0
5.0006667555674085,12.0,16.0,12.433836536661332,13.552479892790474,2.199912127612251,6.0
