Time_s,h1_ref,h2_ref,h1_real_pid,h2_real_pid,h1_measured_pid,h2_measured_pid,v1_pump,v2_pump
0.0,12,16,12.262967519550699,12.783158403008974,12.135954765064552,12.989326306643738,3.0,3.0
0.2,12,16,12.262137306348226,12.783785376050828,12.391341959543455,12.63208396482728,2.9,3.1
0.4,12,16,12.259655773562836,12.785661701111035,12.290768185003948,12.89274885915809,2.7999999999999994,3.2000000000000006
0.6000000000000001,12,16,12.255536488350808,12.78878051691803,12.18224508057361,12.753403750164038,2.6999999999999997,3.3000000000000003
0.8,12,16,12.250205771071014,12.79313517131063,12.095206828672962,13.016709673516425,2.6995614180646297,3.4
1.0,12,16,12.245188230738185,12.798722381381872,12.240291475270938,12.784792242658778,2.6460766494706904,3.5
1.2000000000000002,12,16,12.238655251222328,12.805537721438897,12.199338733475571,12.862521486847223,2.546076649470691,3.5999999999999996
1.4000000000000001,12,16,12.23081584727973,12.813574545521384,12.293235842971576,12.928105961765015,2.5280336472905653,3.6999999999999993
1.6,12,16,12.222617420476295,12.82282851235486,12.345921888026936,12.77874831352455,2.437238247546365,3.799999999999999
1.8,12,16,12.213493122583724,12.833294531057179,12.14352923528265,12.741296027571709,2.461042757541055,3.899999999999999
2.0,12,16,12.205890694217082,12.844970810947277,12.14838441920589,12.92547702827217,2.561042757541055,3.9999999999999987
2.2,12,16,12.200017539770558,12.85785890517793,12.202953834471753,12.958618641882932,2.63137444087636,4.099999999999998
2.4000000000000004,12,16,12.193792494036199,12.871958337544251,12.269784926165492,12.77076837500077,2.5313744408763603,4.1999999999999975
2.6,12,16,12.187588151557245,12.887264515056643,12.10700762002829,12.763743744693265,2.62563016562644,4.299999999999997
2.8000000000000003,12,16,12.1823837495737,12.903777121026069,12.13223139091403,12.853373922517918,2.588553559198349,4.399999999999998
3.0,12,16,12.175876890924354,12.921492481233491,12.2264526741835,13.017552178944232,2.529773274263366,4.4999999999999964
3.2,12,16,12.16878407052486,12.94040534430748,12.198311406966784,12.90399820330257,2.450546501013827,4.599999999999994
3.4000000000000004,12,16,12.161281573333028,12.960510950079742,12.224279223437007,13.024128181610802,2.5124056831432133,4.699999999999995
3.6,12,16,12.155532435855589,12.981808704970849,12.143602578381902,12.95281038073036,2.612405683143213,4.7999999999999945
3.8000000000000003,12,16,12.151574753040215,13.004300326133796,12.113039785495236,12.905162400373873,2.702864395727172,4.899999999999993
4.0,12,16,12.149295690878192,13.027987280360987,12.091565562528276,13.020898822263435,2.8027689687412947,4.999999999999993
4.2,12,16,12.148597536693398,13.052871044536131,12.14729591818338,13.095597989413921,2.827591373289942,5.0999999999999925
4.4,12,16,12.14703871833553,13.078949870633556,12.169254482542351,12.866052556013354,2.727591373289942,5.199999999999992
4.6000000000000005,12,16,12.144895974209339,13.10621795546738,12.020802040313901,13.004258259032834,2.775917527983783,5.299999999999992
4.800000000000001,12,16,12.144076782230272,13.134674149818673,12.245958656443907,13.064854471003262,2.778029387010917,5.399999999999991
5.0,12,16,12.14232161517278,13.164316047798813,12.043593402039514,12.958636089117551,2.7318588573559315,5.4999999999999885
5.2,12,16,12.140030898394869,13.195138766908956,12.183217529213364,13.170826856224041,2.6425546477717243,5.599999999999987
5.4,12,16,12.137092060448163,13.227137249614236,12.105151091293465,13.158181812580937,2.6830815648064728,5.699999999999987
5.6000000000000005,12,16,12.135811418184137,13.26031035962616,12.122989546646943,13.318728076065586,2.7483865535645444,5.799999999999985
5.800000000000001,12,16,12.135783085446139,13.29465894197949,12.080668812397107,13.250766985305024,2.843505347226737,5.899999999999984
6.0,12,16,12.136668035392551,13.330183083702678,12.14474576213884,13.281702753415052,2.7929602641884714,5.998154664232023
6.2,12,16,12.136556352338266,13.36625097016351,12.137164872612654,13.432957397262502,2.786922984499416,6.000001743040966
6.4,12,16,12.137837361610698,13.402236088563297,12.011019232982648,13.207808128434825,2.886922984499416,5.999996596361371
6.6000000000000005,12,16,12.139593486441797,13.43814053920681,12.183601386350738,13.496779269170712,2.8049140275752507,6.000005034710583
6.800000000000001,12,16,12.139887020705572,13.473962227144126,12.2666540778328,13.329640422234492,2.7049140275752506,6.00000585769915
7.0,12,16,12.138706603640507,13.509697240534349,12.146037729740373,13.543931522743192,2.604914027575251,6.000008024554529
7.2,12,16,12.136181698660257,13.545341744088061,12.210259644069994,13.668417278866736,2.5518831694458823,5.999999997210905
7.4,12,16,12.133997609415456,13.580894107705767,12.167214379927415,13.507201176708968,2.590408808250996,5.999999999990811
7.6000000000000005,12,16,12.132698354152572,13.616356135864885,12.16030227588221,13.686643488942297,2.636300693718851,5.9999999999998925
7.800000000000001,12,16,12.131211955613967,13.651729161385129,12.282513976690723,13.63874322061747,2.541170862874391,5.999999999999979
8.0,12,16,12.129650936699045,13.687011547399761,12.024599921000574,13.86692846729884,2.624864538296892,6.0
8.200000000000001,12,16,12.129921026298664,13.722206135021871,11.938388920455191,13.730653853541988,2.7248645382968926,6.0
8.4,12,16,12.131419806583247,13.757317218042223,12.34513080987196,13.923163913817023,2.7042063735546527,6.0
8.6,12,16,12.132031594653878,13.792344599698612,12.126237028660073,13.602988261333,2.6956652623050488,6.0
8.8,12,16,12.132961178410202,13.82728774711459,12.36482838707301,13.781245403360074,2.6389039174181437,6.0
9.0,12,16,12.132469681203881,13.862145018664114,12.245986875206532,13.923274582947961,2.538903917418144,6.0
9.200000000000001,12,16,12.130929834714895,13.896912719030711,12.077367965707351,13.8859329318796,2.5426481582528884,6.0
9.4,12,16,12.130835288727498,13.931591349225869,12.241306971331952,13.855406933700252,2.642648158252888,6.0
9.600000000000001,12,16,12.131689924405471,13.96618472632653,12.1107852155312,13.985901914445842,2.623259305799578,6.0
9.8,12,16,12.13159292354359,14.00069257051408,12.243003777039222,14.168033936411597,2.5234723123365446,6.0
10.0,12,16,12.131001292642592,14.035112097022509,12.095209624186348,14.027357728782688,2.5793241872555006,6.0
10.200000000000001,12,16,12.132148068246421,14.069445406914786,11.918917550333186,14.307450130342653,2.679324187255501,6.0
10.4,12,16,12.13509641132084,14.103697113248073,12.115722415538418,14.316404719806423,2.763477616477823,6.0
10.600000000000001,12,16,12.139405591392695,14.137871208047676,11.895959611787084,14.117568932658527,2.851642428810203,6.0
10.8,12,16,12.144758398172813,14.171971244362112,12.106458859668354,14.258916128669478,2.8174556888566045,6.0
11.0,12,16,12.148906769119794,14.205996429346857,12.02093590457877,14.201377661945862,2.7768708108204097,6.0
11.200000000000001,12,16,12.15400517295079,14.239945801554127,12.193345025768663,14.360223981723854,2.8577376552074645,6.0
11.4,12,16,12.158943342255562,14.273821529841564,12.102430229342444,14.246520401202483,2.758037419847901,6.0
11.600000000000001,12,16,12.162346910396177,14.307620671529172,12.211452985895074,14.035117998724239,2.6580374198479007,6.0
11.8,12,16,12.164219255640694,14.341339225292257,12.227381299432697,14.378493640325875,2.558037419847901,6.0
12.0,12,16,12.16501780299435,14.374973423675238,12.012336314801484,14.306065895309699,2.5625016933011877,6.0
12.200000000000001,12,16,12.167102698094746,14.408523727074284,12.171541325623094,14.613052653605969,2.6058786949135824,6.0
12.4,12,16,12.169294670886899,14.441992149671977,12.175537615620748,14.445915758949466,2.643097292400883,6.0
12.600000000000001,12,16,12.171571341539837,14.47537944654118,12.227875778547434,14.540743668643723,2.5506135729242367,6.0
12.8,12,16,12.172632960586373,14.508683312849316,12.13330586470075,14.574222858893291,2.537789820217295,6.0
13.0,12,16,12.174918565113117,14.541903671509235,12.215928800589042,14.539234505615866,2.619587100175615,6.0
13.200000000000001,12,16,12.17707856055122,14.575043013925034,12.297276392282125,14.630078942453997,2.520420860736387,6.0
13.4,12,16,12.177764282420457,14.608098516528823,12.157892659473644,14.729699316370482,2.459688715369751,6.0
13.600000000000001,12,16,12.178892799599584,14.641068526323824,12.285469502216257,14.718764728387802,2.492672074655041,6.0
13.8,12,16,12.179347825990153,14.673953659159354,12.260860967338395,14.54641310804375,2.3953742818984263,6.0
14.0,12,16,12.178703394458141,14.706750949219236,12.181081847504531,14.631380569626899,2.3512090124940404,6.0
14.200000000000001,12,16,12.178674812905877,14.739459510936689,12.003889060252579,14.681516885877496,2.4509105607524098,6.0
14.4,12,16,12.180432976629366,14.772083039535772,12.184389786708511,14.648052130851598,2.5509105607524094,6.0
14.600000000000001,12,16,12.183876662904192,14.804626202897749,12.196386459195288,14.704189719938503,2.609015496874973,6.0
14.8,12,16,12.186965325862936,14.837091226464802,12.21792645120949,14.854352604385966,2.5247051605967585,6.0
15.0,12,16,12.188627003392076,14.869475281741098,12.313917030694064,14.673374979824258,2.424756663663135,6.0
15.200000000000001,12,16,12.189906511750443,14.901775311838895,11.981158260488671,15.031922232688874,2.4921917641409568,6.0
15.4,12,16,12.192918676471528,14.933993760091571,12.114269656796505,14.928234980920337,2.5921917641409564,6.0
15.600000000000001,12,16,12.197700843330775,14.966135305972644,12.143537107898663,15.005419836388747,2.692191764140957,6.0
15.8,12,16,12.203313667720797,14.998203991162415,12.223776525975255,15.217371939026531,2.642469781610209,6.0
16.0,12,16,12.207466448854603,15.030198497784601,12.286015177727473,14.970926148213096,2.5424697816102095,6.0
16.2,12,16,12.210057676751457,15.06211476783666,12.399172674046243,14.958697241853626,2.44246978161021,6.0
16.400000000000002,12,16,12.21134692673591,15.093948836032352,12.130236599221002,15.133206829145324,2.4208403175537545,6.0
16.6,12,16,12.213204987643715,15.125700036689992,12.332184966800938,15.08844585316408,2.4020524085358956,6.0
16.8,12,16,12.213779670095155,15.157367768417087,12.364666463680798,15.092019357894943,2.302052408535896,6.0
17.0,12,16,12.21414612893429,15.188949165538839,12.146494916773259,15.13061245631235,2.3819521831726562,6.0
17.2,12,16,12.216265872713679,15.220447042407523,12.111108013756787,15.176120567764592,2.481952183172656,6.0
17.400000000000002,12,16,12.219886010541835,15.251866043949407,12.158567405918985,15.328030456982603,2.502452837084027,6.0
17.6,12,16,12.22254232873688,15.283207155057232,12.365847547942487,15.32746553726614,2.4024528370840272,6.0
17.8,12,16,12.22363389324501,15.314418582960641,12.185414632291534,15.465807939047119,2.3024528370840276,5.972333503017809
18.0,12,16,12.223163329944452,15.345138239597746,12.335102667267993,15.339439560033796,2.202452837084028,5.998236892453913
18.2,12,16,12.221231054736768,15.376222153269856,12.341437856738926,15.320612287756212,2.150259300353328,5.999999994829102
18.400000000000002,12,16,12.218617492272204,15.407214909991037,12.327409647499385,15.362507142726843,2.0609314708330375,5.999998666907699
18.6,12,16,12.215419697256275,15.437769393233447,12.086971686731172,15.561604889296913,2.1130701722126237,5.926012113018263
18.8,12,16,12.213896614569462,15.46701958328189,12.277914709867373,15.548541872365487,2.2130701722126234,5.826012113018264
19.0,12,16,12.21413168027406,15.495340820886527,12.016824102643467,15.448723450480799,2.313070172212623,5.840364843573329
19.200000000000003,12,16,12.216119081224733,15.5245269579793,12.309535151664424,15.565270436592455,2.412735643026552,5.889307421126121
19.400000000000002,12,16,12.218934454805641,15.55307806598845,12.175454596096984,15.635561516895349,2.40246558158808,5.7893074211261215
19.6,12,16,12.22132679183523,15.581294988864634,12.187000503342707,15.41726695944846,2.351021800168998,5.867369496567179
