Tiempo [s],h3_Real [cm],h3_PINN [cm],h4_Real [cm],h4_PINN [cm]
0.05,1.8824954587610523,1.9307923371673477,1.3522440238176403,1.3385218034460813
0.1,1.8523122306197535,1.8813973591825603,1.3655696729619613,1.3503122369258211
0.15000000000000002,1.785574362801591,1.8510535819554035,1.385047882189295,1.3636966584966248
0.2,1.7946641870902205,1.7841283288582173,1.3688654936936544,1.3829049710470038
0.25,1.8216245756615657,1.7932217417075607,1.372772718842593,1.3668061763424286
0.30000000000000004,1.7822746032128542,1.820256865956385,1.3644972188301716,1.3706706060351903
0.35000000000000003,1.7681985518242742,1.7807645992741432,1.3631254818081857,1.3623366188993273
0.4,1.7761674969750965,1.7666511020346345,1.3653410025744568,1.3609800029385237
0.45,1.790572291729957,1.7746610815970996,1.3824082584523123,1.3632328984031894
0.5,1.762071474466021,1.7891518457847178,1.3874047706124701,1.3802519380670857
0.55,1.7531517167503607,1.760567867526844,1.3904207090607674,1.385201375225449
0.6000000000000001,1.7583087905451746,1.7516242380812164,1.4089836661320008,1.3882308655682023
0.65,1.7716053441369164,1.7568327999210578,1.3961480249609037,1.4067672894566061
0.7000000000000001,1.7633006345227646,1.7701533812671455,1.37282036445047,1.3939586094229004
0.75,1.7554524522411885,1.7617769004387132,1.3767355780845616,1.3706785945203435
0.8,1.7600974540245486,1.753918888621268,1.372675573157072,1.3745915257301056
0.8500000000000001,1.7619101452582686,1.7585759042818014,1.3797419588809792,1.3705218204992158
0.9,1.7670492762495125,1.7604104389285633,1.3773408484864216,1.3775569655401143
0.9500000000000001,1.7714032925662788,1.765564080187042,1.378152963593136,1.3751631303731067
1.0,1.7634827149729067,1.7699375995511673,1.385042318779992,1.3759612656308033
1.05,1.7620756871242504,1.7619984550567096,1.3873404347766845,1.3828439161961916
1.1,1.7621828758725346,1.7605936115493575,1.3892197259089267,1.385141318935281
1.1500000000000001,1.7608173505086582,1.7607048569314925,1.3835085296306169,1.387009340597397
1.2000000000000002,1.7658872066756834,1.7593299701048837,1.370597140502087,1.3812892999248105
1.25,1.7615043258488259,1.7643879684191146,1.3824233795134948,1.3684015909486984
