Tiempo [s],h1_Real [cm],h1_PINN [cm],h2_Real [cm],h2_PINN [cm]
0.05,12.35219665482018,12.347353346957348,12.569857137963842,12.702724583639114
0.1,12.537900054373226,12.354006808255031,12.732426958747649,12.569333601119602
0.15000000000000002,12.49894617069396,12.446498163519221,12.748293755323537,12.649724862008537
0.2,12.486877920795486,12.463569492831095,12.56808090182734,12.682311316137497
0.25,12.505290868655761,12.4701216802046,12.855915854139733,12.653239234069254
0.30000000000000004,12.575539080587127,12.477338821173285,12.640608803900866,12.693582231356338
0.35000000000000003,12.41540854403686,12.493979932574701,12.649278503377237,12.684449848923379
0.4,12.220200956198005,12.482786416211,12.717972979710389,12.679190753144574
0.45,12.345121969217384,12.449577204841878,12.652500100608185,12.684028622768583
0.5,12.505987315522145,12.437535028694954,12.637079334643643,12.6803921200476
0.55,12.419543316896105,12.444432646507515,12.72700027168177,12.675888240392482
0.6000000000000001,12.48353390457682,12.442102561182262,12.722516029941174,12.680626411518315
0.65,12.296365306724951,12.445454021510264,12.63184275708353,12.684233004689844
0.7000000000000001,12.469054768912478,12.433703106028997,12.639570463980688,12.679862471776037
0.75,12.190888522582474,12.436824541087356,12.75237053384733,12.676626009278987
0.8,12.35686074168869,12.41928374040604,12.568451028770944,12.681999758330694
0.8500000000000001,12.353933660222625,12.415186464357355,12.673741929867653,12.67423823024766
0.9,12.323569723896139,12.411164554949917,12.670307314254758,12.674170933761392
0.9500000000000001,12.309790308314486,12.405916367483838,12.674846746905194,12.673823235249003
1.0,12.621437050436137,12.400315683956089,12.646897730891729,12.673819496555321
1.05,12.302084455559196,12.412642055146051,12.671570131419704,12.672296601995676
1.1,12.39090975777546,12.406666893619601,12.726662467489207,12.67222681304695
1.1500000000000001,12.276012458401528,12.405822159182279,12.623192739052207,12.675022109689571
1.2000000000000002,12.3582276271027,12.399352404072637,12.882167503413129,12.672335235163718
1.25,12.479475176083406,12.397589138695103,12.657168259748275,12.682472079965805
1.3,12.227544830132555,12.401315862090986,12.634171160398234,12.681296883918549
1.35,12.4057544971462,12.39334505470982,12.774509146259943,12.679098532033759
1.4000000000000001,12.488189918201368,12.393884397236251,12.533548621122621,12.683386813686575
1.4500000000000002,12.4356586907566,12.39811749025302,12.728486776972433,12.67672321531471
1.5,12.448632398204598,12.399708825480205,12.67892461069693,12.678916582274589
1.55,12.40565714558101,12.401705256404101,12.783185301263314,12.678910351118454
1.6,12.333391808487555,12.40185284940988,12.756268449114634,12.683226049858263
1.6500000000000001,12.564138358937601,12.39908469548237,12.610064479186764,12.686147215854831
1.7000000000000002,12.22324173146102,12.405791541484271,12.689946972316308,12.683078994573453
1.75,12.544078720004045,12.398577540792305,12.84735822374867,12.683338210668712
1.8,12.360733852947773,12.40425908644556,12.659784867691664,12.689696482389913
1.85,12.257966676345188,12.402621432136774,12.658604283733743,12.688515055186521
1.9000000000000001,12.46894589622692,12.397202099589528,12.49368194222382,12.687332381751904
1.9500000000000002,12.490508337171702,12.400047190296643,12.606244565340088,12.679990833592438
2.0,12.495972269050537,12.40347951275015,12.819534556987248,12.677209245493316
2.0500000000000003,12.369655483540107,12.406759531782802,12.666001501980176,12.682413507098126
2.1,12.351166847189427,12.405472803397327,12.688439414443772,12.681782914097159
2.15,12.359738737749637,12.403547813768782,12.591127449318623,12.681977326168603
2.2,12.40326136178052,12.40208837016378,12.809495218264162,12.678663597335465
2.25,12.428698358148695,12.402217121509244,12.664335807393467,12.683212341314764
2.3000000000000003,12.654747471587555,12.403140362864534,12.856852483583348,12.682526914139803
2.35,12.453212758844467,12.411908015463062,12.733900673049435,12.68859107529138
2.4000000000000004,12.496544222547163,12.41338237538248,12.861208455842728,12.69008032160789
2.45,12.391479336269894,12.41628477613971,12.819092572630103,12.695893990282805
2.5,12.493727640089588,12.415367815337857,12.878355381356911,12.700095035749712
2.5500000000000003,12.511154755181147,12.418073163730993,12.698546426547525,12.706106855189748
2.6,12.379320692762873,12.421223646348999,12.718078302805182,12.705825206932403
2.6500000000000004,12.398346524080315,12.419807381548878,12.621110150372932,12.706206553687927
2.7,12.410795582163772,12.419108669978975,12.644385534799397,12.703327759553083
2.75,12.414168128931312,12.418917898168315,12.73607419761528,12.701331297127101
2.8000000000000003,12.466595484516862,12.418731836772734,12.369762002657545,12.702452905231585
2.85,12.47757398591189,12.420341228591052,12.471580897132457,12.69146363827009
2.9000000000000004,12.44515351589392,12.42223638559077,12.620746943267072,12.68417318559094
2.95,12.357834693647083,12.422928031538058,12.682691900604832,12.68212188899096
3.0,12.390680956071684,12.42079578364608,12.60036843242225,12.682091979441509
3.0500000000000003,12.488412192749776,12.419794820442004,12.731711929701317,12.679410089840562
3.1,12.187858052842369,12.422058174886986,12.664648519281794,12.681062592447837
3.1500000000000004,12.456894392554807,12.414426517391437,12.519185673704422,12.680520481864
3.2,12.220179384647,12.415779976657184,12.665738134124584,12.675295034328329
3.25,12.603368006045912,12.409369101736017,12.654301546754475,12.67498846144644
3.3000000000000003,12.46756233674134,12.415651225311718,12.80134591353526,12.674285587034294
3.35,12.509874413106031,12.417260617130037,12.690020145499957,12.678373225459527
3.4000000000000004,12.309316133384918,12.420169298440706,12.793288309731897,12.678722170203145
3.45,12.565628804214091,12.41659330832732,12.692398226891488,12.682399798554627
3.5,12.409926682056959,12.42145681189536,12.477234570178112,12.682675215655838
3.5500000000000003,12.548791043889665,12.421156130399547,12.602211686299958,12.676085144926379
3.6,12.332028046616664,12.425204732159093,12.556369153857135,12.67369861212628
3.6500000000000004,12.34791797034743,12.422228534898974,12.661579154589472,12.669961164675893
3.7,12.637534609948867,12.419830933624269,12.591178545517485,12.669667054106274
3.75,12.501900548277325,12.426810198631514,12.520130824230034,12.667130973558908
3.8000000000000003,12.336124852186456,12.429213295390477,12.532627899849423,12.662441405450938
3.85,12.456935858626293,12.42627949186606,12.580739496381385,12.658323857476251
3.9000000000000004,12.39043669744341,12.427258473133104,12.625786260687942,12.65585881210884
3.95,12.45081799672992,12.42610991692325,12.759859015186287,12.654899214063892
4.0,12.293844896625073,12.426928744077644,12.654825062233233,12.658176802191441
4.05,12.453920502519589,12.422713707652008,12.650845003293371,12.658052179068722
4.1000000000000005,12.287685848828769,12.423669136843664,12.593664836378235,12.657805425285733
4.15,12.597140964177118,12.419349686217133,12.74724757972909,12.65578279200398
4.2,12.30631877899382,12.425006894725819,12.588427118977412,12.658625445433234
4.25,12.44512869504505,12.421232282109976,12.65669342351709,12.656404661386354
4.3,12.447495135586877,12.421995369352613,12.729567620249254,12.656369766911993
4.3500000000000005,12.347957447638722,12.422823617337162,12.653537238677895,12.658625445433234
4.4,12.410336693834866,12.420463699383081,12.748168448578133,12.658455957986334
4.45,12.363407220406604,12.420197560931173,12.741307678250202,12.661217606385822
4.5,12.511749390304844,12.418447641729694,12.858370375669502,12.663678913059552
4.55,12.483801471469919,12.421365743870519,12.672038781888858,12.669769245066902
4.6000000000000005,12.491166125653766,12.42337002548621,12.67547098668829,12.669811616928627
4.65,12.451189494908066,12.425436327567096,12.590359957895744,12.669987335531665
4.7,12.305884220120994,12.426278706796879,12.480709062938411,12.66746122483412
4.75,12.535991985978423,12.422561404231153,12.68820728215697,12.661571536054346
4.800000000000001,12.552473525865535,12.426121692960946,12.600145632045585,12.66236912403976
4.8500000000000005,12.559777066520857,12.43008079683401,12.733490753683137,12.660402571163228
4.9,12.585841918593458,12.434141959700431,12.599961729345544,12.66266323460938
4.95,12.362697353898271,12.43886886123121,12.633720879860496,12.660684219420578
5.0,12.335048179207591,12.436464194333888,12.68678292855806,12.659818088717671
5.050000000000001,12.359353320697108,12.433276028395257,12.767182978214242,12.6606393550964
5.1000000000000005,12.42840535658443,12.430945158000824,12.685226288039969,12.66396928493549
5.15,12.29943577748067,12.430901194126763,12.755077291205328,12.664601124167685
5.2,12.406858452990909,12.426785861486945,12.435683059287758,12.667406390660123
5.25,12.556627241724627,12.426238668268716,12.72798719773877,12.660138370143063
5.300000000000001,12.478111972560418,12.430348505424277,12.6158694667215,12.66221209890513
5.3500000000000005,12.552654775243948,12.431888811154785,12.673851388833159,12.660739053594575
5.4,12.461731934715191,12.43568069529258,12.619190344762448,12.661110430500283
5.45,12.37678468280736,12.436541131113495,12.774845903974596,12.659776963087172
5.5,12.435519273066914,12.434678161950144,12.510294452591914,12.663351154246797
5.550000000000001,12.627510766024903,12.434781006012681,12.724536341269129,12.658525746935059
5.6000000000000005,12.616861404702458,12.44082760883448,12.482263057884905,12.660572058610128
5.65,12.490289254264292,12.446314457331178,12.469743254934611,12.654981465324887
5.7,12.563213422170284,12.44766006590513,12.577923967611824,12.649171535343658
5.75,12.475940464701846,12.451266673716523,12.697646694909588,12.646942027678186
5.800000000000001,12.426857206534104,12.452080005386659,12.480533665755743,12.648473645856424
5.8500000000000005,12.428746309107286,12.45134439556531,12.645118007214739,12.643202087765346
5.9,12.468396923975867,12.450626842335094,12.561153065713409,12.64322701238989
5.95,12.43252479795686,12.45127059906242,12.667483136410448,12.640626127818713
6.0,12.355525935267863,12.450732826674349,12.63836314597159,12.641437424347622
6.050000000000001,12.421867041487499,12.447788032181414,12.402607127916268,12.641299092681404
6.1000000000000005,12.508759980863953,12.446999037655848,12.686626772889646,12.633811735468353
6.15,12.374873383672707,12.448944439083066,12.563877276731716,12.63540940390163
6.2,12.510841556117315,12.44664340131746,12.553314550922204,12.633177403773708
6.25,12.581711856083768,12.448635121826277,12.552552795868932,12.630691172475434
6.300000000000001,12.567277349119378,12.452839167283397,12.704424924515687,12.628214911026976
