Tiempo [s],h1_Real [cm],h1_Koopman [cm],h2_Real [cm],h2_Koopman [cm]
0.0,12.4,12.4,12.7,12.7
0.05,12.400700117009707,12.400536106666472,12.699245186260544,12.699765988039621
0.1,12.401705702619543,12.401372348465216,12.697985562040026,12.698455126406108
0.15000000000000002,12.402086105393758,12.402453327040455,12.696977428448108,12.697273025445764
0.2,12.40247816208858,12.402216026926238,12.696075099083838,12.696425719533751
0.25,12.403290153032408,12.403090257517311,12.694964834283699,12.695445132128663
0.30000000000000004,12.403495139360786,12.403651623272166,12.69384604296633,12.694197553358705
0.35000000000000003,12.403718802863516,12.403462443540365,12.692792692928803,12.693256282026207
0.4,12.404609758292267,12.40409416355295,12.69192540510667,12.692062715663585
0.45,12.405220033177384,12.405222939009324,12.691422634105214,12.691563065992856
0.5,12.405042270086469,12.40525927507687,12.690596085915855,12.691033371095568
0.55,12.405241786722305,12.404948531073826,12.68944873404525,12.689925783100811
0.6000000000000001,12.405735171639838,12.405707556009254,12.688314509856994,12.688775303684718
0.65,12.406254291184597,12.405924280720773,12.687627626299923,12.687654449873252
0.7000000000000001,12.407158174420628,12.406684195338627,12.68702564160563,12.687399247218432
0.75,12.408043474583334,12.407738219356158,12.686083485095619,12.686473826871985
0.8,12.408515884459938,12.408488406317568,12.68503212685302,12.68547110644973
0.8500000000000001,12.408541145263877,12.408662301993697,12.68409540733806,12.684371961423837
0.9,12.408880129600776,12.408509650162289,12.682914310452185,12.68359712921082
0.9500000000000001,12.409363107918473,12.409303393952973,12.681792528368268,12.682044644940536
1.0,12.409455691803789,12.409458494994619,12.681247622484213,12.681367551918136
1.05,12.4097318931489,12.409504956853972,12.680582678886736,12.680926692317643
1.1,12.410056665755452,12.409984567191534,12.679910957084907,12.680048438048226
1.1500000000000001,12.410025232533135,12.410101949120355,12.679289551689317,12.679524064680242
1.2000000000000002,12.410607730478317,12.410097042454188,12.67855324871572,12.678807581279052
1.25,12.411056823631487,12.41124421108151,12.678059056897395,12.678090203170402
1.3,12.411587707043344,12.410964022912761,12.677976627410441,12.677826562666482
1.35,12.412592468166208,12.412160698695233,12.677492513639494,12.677846508300577
1.4000000000000001,12.413436026195912,12.41290913597344,12.676492289549307,12.676816664312716
1.4500000000000002,12.41400181261747,12.413799955076016,12.67554583808394,12.675829474966942
1.5,12.41435118779082,12.414090578796364,12.674746360458641,12.674942204399159
1.55,12.4148770754344,12.414521768627488,12.67421443494789,12.67424006217474
1.6,12.41518751083471,12.41512974057202,12.673591285709058,12.673877096045748
1.6500000000000001,12.415896209829283,12.415113449348583,12.673019353459088,12.672988888196993
1.7000000000000002,12.41706245742171,12.416509794486641,12.672602303626611,12.672726240176882
1.75,12.417943482223633,12.417435672665995,12.671987217525682,12.672158202042718
1.8,12.418714622407013,12.418249382570009,12.671295529419353,12.6714913466193
1.85,12.419127971896263,12.418968092036886,12.670393718690553,12.670781594312396
1.9000000000000001,12.419262500063288,12.419081897680583,12.669621800224771,12.669752149310634
1.9500000000000002,12.419847800337802,12.419313565933686,12.668815100467826,12.669034597424208
2.0,12.420421035590186,12.420216343301945,12.667836652188578,12.668112382614664
2.0500000000000003,12.420870545030064,12.420341633070809,12.667021760782976,12.6670679542744
2.1,12.421522706609846,12.42112191167774,12.666214919823307,12.66650756498672
2.15,12.421835750945762,12.421640652003031,12.66530245154272,12.665473225199976
2.2,12.422255664311777,12.42176477168513,12.664348834288953,12.664690229953203
2.25,12.422427238884886,12.422410829317853,12.663610148489957,12.663603564548467
2.3000000000000003,12.422585842865375,12.422157694099262,12.66326586701078,12.6632194636526
2.35,12.42292528125089,12.422683278096883,12.662492386033836,12.662870735883578
2.4000000000000004,12.42301947966969,12.422846242934611,12.661222539510577,12.661660707657068
2.45,12.423107685955614,12.422869823865422,12.660332990113991,12.660323304374158
2.5,12.423345320520317,12.423010648790386,12.65989639011092,12.659843281590776
2.5500000000000003,12.423660468944679,12.423318156031993,12.659433216269017,12.659471313584241
2.6,12.42427080380566,12.42372567993328,12.658570892060789,12.658861040770137
2.6500000000000004,12.42491000212716,12.424549242028137,12.65761271543379,12.65772017646485
2.7,12.425323077360181,12.424958698878003,12.657279106780672,12.657002994905614
2.75,12.42556385686959,12.425391573504465,12.657221414955073,12.657065904027547
2.8000000000000003,12.42585420223653,12.425395441094626,12.65697501078616,12.656835882917497
2.85,12.426034936245314,12.425980044445165,12.656414419540784,12.65657809897255
2.9000000000000004,12.426476957209188,12.425723631176872,12.655609319969967,12.655701395427993
2.95,12.427156079732125,12.426744004368032,12.65448339693438,12.654922839680236
3.0,12.427306900756415,12.427035443920225,12.653499021938396,12.653400631209797
3.0500000000000003,12.427844022885285,12.427075627315459,12.652609957850567,12.6528856176027
3.1,12.428771627162421,12.428186987495355,12.651366519097085,12.651537631938998
3.1500000000000004,12.429206137100419,12.4289420095798,12.65061886300774,12.650379154468075
3.2,12.429211638252436,12.42904865570128,12.650104958008326,12.650062948058025
3.25,12.429178105239826,12.42893739865027,12.649483179153687,12.64929580200027
3.3000000000000003,12.429421825728543,12.428978459102552,12.64889076154737,12.648837598075403
3.35,12.429862037467274,12.429455334465231,12.648025440892107,12.648119474253944
3.4000000000000004,12.430288016714076,12.42986120331994,12.6472881948834,12.647085937334838
3.45,12.4307673842194,12.430297973195994,12.646771583882662,12.646675529720813
3.5,12.431130373309774,12.430829733689828,12.646265628095998,12.646092232378694
3.5500000000000003,12.431067204732654,12.431028929542693,12.645678406043475,12.645669668887972
3.6,12.431222995024141,12.43071967625433,12.645135960912027,12.644943805748083
3.6500000000000004,12.43136971406835,12.43141234800923,12.644303445157966,12.644633124554785
3.7,12.431556199085067,12.431100987795999,12.643146159128552,12.643342381954094
3.75,12.431938813967701,12.431826334848761,12.642412725747956,12.642285026197865
3.8000000000000003,12.43225597715498,12.431946404672345,12.642055897022273,12.641861591721172
3.85,12.432765386340419,12.432469154913864,12.641500149628936,12.641612538450724
