Tiempo [s],h3_Real [cm],h3_Koopman_Lin [cm],h4_Real [cm],h4_Koopman_Lin [cm]
0.0,1.9317814174785348,1.9317814174112378,1.340666595139033,1.3406665949096057
0.05,1.8820026261690674,1.9309253421663621,1.3523597528627485,1.3409600120326628
0.1,1.8218578903695064,1.929253184063459,1.3790149645766774,1.3413637772274083
0.15000000000000002,1.6517678942411032,1.9276303836542195,1.4241008997677391,1.3418152923066473
0.2,1.8218969227552464,1.926112739997316,1.320384010366952,1.342115216060896
0.25,1.9289282578946039,1.9246240403219053,1.3883232791241762,1.3424457739289575
0.30000000000000004,1.58728111581398,1.9231131715108511,1.3234896659517963,1.3427705808060186
0.35000000000000003,1.6848663596025202,1.92162842051725,1.3550038230668726,1.3430435541508678
0.4,1.8309352221937252,1.9201354293532755,1.380567788397874,1.3433248716110504
0.45,1.9030889233890917,1.9187048425704307,1.5157216758428365,1.34363708273857
0.5,1.5131422483791097,1.9173211279628504,1.431045047934873,1.3439258762533686
0.55,1.6671620856804321,1.9159301676354168,1.4194948904757592,1.3441820528507902
0.6000000000000001,1.8126045818396461,1.9145308029695534,1.604419084020001,1.3444500740768306
0.65,1.9231441634455377,1.913127037403391,1.249862304851523,1.344710041510976
0.7000000000000001,1.6616082625906534,1.911773682868134,1.0871709946034267,1.3449802911664535
0.75,1.652862123583229,1.9104252650131137,1.4279163101862795,1.3452677286542745
0.8,1.8245541233945552,1.909077389314706,1.3163353473832395,1.3455618597014998
0.8500000000000001,1.7884817584110881,1.9077254755538848,1.4833260524574046,1.345847041436515
0.9,1.8462802229520507,1.906386324533537,1.3403216039951955,1.3461164302907005
0.9500000000000001,1.8417290892420055,1.9050225458323742,1.3912705529323581,1.3463936870147941
1.0,1.62991940163614,1.9036762368778903,1.5012150229099706,1.3466639860502692
1.05,1.7373840722435059,1.9023562018693179,1.427670176462314,1.3469257478522978
1.1,1.7641354299780665,1.90104221965008,1.4234451533788168,1.347188642229013
1.1500000000000001,1.7350768011992632,1.8997482132152557,1.2758551600429886,1.3474454470334825
1.2000000000000002,1.8645626503387827,1.898465368112439,1.1193031368944437,1.3476942978053472
1.25,1.673616664598385,1.8971929887559618,1.619572870789027,1.3479574366826932
1.3,1.8260699041028825,1.8959471049141436,1.3968056116864105,1.3482078953945842
1.35,1.6673278650539676,1.8947360238656366,1.4552922311883205,1.348472851147824
1.4000000000000001,1.792744056471576,1.8935211289391447,1.4048935616044367,1.3487433651210177
1.4500000000000002,1.8188161372401073,1.892304334998455,1.4608042184612735,1.3490215068201061
1.5,1.7886563637337094,1.8910892999947735,1.5658740610375237,1.349296899438442
1.55,1.7977647986699687,1.8898821203033733,1.4748486643238299,1.3495720517204477
1.6,1.7186300715147473,1.888693297841322,1.3102460853977793,1.3498498647344124
1.6500000000000001,1.6696146095351072,1.8875055005536483,1.4098051559750335,1.350120367378797
1.7000000000000002,1.8053158896542079,1.8863380578242186,1.4651879208418521,1.3504057988534524
1.75,1.731193480370974,1.885180735472115,1.4249732364536007,1.3506981800267224
1.8,1.7302460439651317,1.8840301864959632,1.3899140487980932,1.3509954668526194
1.85,1.6100141966690256,1.882884940762385,1.2428934440828194,1.351296018005535
1.9000000000000001,1.7669059490955086,1.8817355966830611,1.1694510310999349,1.351590863025458
1.9500000000000002,1.8101606202011156,1.880591473818989,1.3597323266534067,1.351882048892835
2.0,1.7490347447866457,1.8794466312130977,1.5850145055859421,1.3521792628044407
2.0500000000000003,1.7858079186072877,1.8782978289858812,1.3617971612269562,1.3524713174876293
2.1,1.750074961002117,1.8771588479612091,1.3661069317093693,1.3527676439732434
2.15,1.8640322917332168,1.876016304334954,1.2328365647693815,1.3530644015975537
2.2,1.8058163648197962,1.8748773717077323,1.261270904562286,1.353356247758461
2.25,1.6653352391326455,1.8737337804729244,1.378712114665884,1.3536504428565026
2.3000000000000003,1.5000254129175685,1.872604775865675,1.4063546158996414,1.353934931691022
2.35,1.874584181825262,1.8714907769109854,1.3192175485205913,1.3542205263694627
2.4000000000000004,1.6128858387820657,1.8703684328021009,1.2485501759687159,1.3545022839315901
2.45,1.758889711443916,1.8692348705916324,1.5255337759690533,1.3547785436806863
2.5,1.741666016798087,1.8681131321539348,1.31916358342476,1.355051203018615
2.5500000000000003,1.7237935395489903,1.8670056577533436,1.4291165005952393,1.3553226036588484
2.6,1.8847928952771822,1.865905804877974,1.486268313747441,1.3555940734313279
2.6500000000000004,1.7960742898736357,1.8647996916659773,1.409910613938938,1.3558709160747675
2.7,1.7643407966163625,1.8636985521216274,1.293144145055225,1.356147698045651
2.75,1.9609885745450406,1.862622222997755,1.4859674202586854,1.356424835693858
2.8000000000000003,1.6597978038872063,1.8615623993205417,1.4685516089335178,1.3566968361220113
2.85,1.8189876256200723,1.8605178326515233,1.4099000606575576,1.356971248288625
2.9000000000000004,1.6260722131196987,1.8594724302971888,1.610398487491569,1.3572373154737036
2.95,1.7738922044186276,1.8584287703883033,1.4021257753014686,1.35751142320509
3.0,1.7701691683964287,1.8573682418955593,1.4676916798795494,1.357784077713475
3.0500000000000003,1.8948423609706841,1.856316771919689,1.437296898088189,1.358052348954075
3.1,1.7697133738212167,1.855253325439937,1.5020284086203528,1.3583296503099282
3.1500000000000004,1.6918226042842124,1.8541831546409888,1.498112785200824,1.3586112851638674
3.2,1.7394420509051205,1.8531275134184209,1.5629859383611955,1.3588891932102622
3.25,1.7010489252203695,1.8520748138464656,1.3606146663976244,1.359160771171788
3.3000000000000003,1.6473620110259226,1.8510326781499327,1.5518321773696178,1.359428176989801
3.35,1.8531107089712449,1.8499944053822006,1.5881459209942521,1.359696904737526
3.4000000000000004,1.5809893283530607,1.8489521893398382,1.4431886271700969,1.35996601784917
3.45,1.6398746825426362,1.8479215656085985,1.238427641015137,1.3602359798638155
3.5,1.6993949513555806,1.8468979713069253,1.325365031584692,1.3605079175435004
3.5500000000000003,1.778808578925877,1.845885188672806,1.4595616051000704,1.3607777333978386
3.6,1.7973355199027834,1.8448755268418344,1.516626602544318,1.3610392723205196
3.6500000000000004,1.5556665444024629,1.8438790831042693,1.3920466220940835,1.3613050949658212
3.7,1.7740036586101673,1.842871611238106,1.366606797200456,1.3615627320617516
