Tiempo [s],h3_Real [cm],h4_Real [cm],h3_Classical [cm],h4_Classical [cm]
0.0,1.9317814174785348,1.340666595139033,1.8,1.4
0.05,1.8820026261690674,1.3523597528627485,1.798547652243919,1.3990582514501444
0.1,1.8218578903695064,1.3790149645766774,1.7967321864516903,1.3981958829982224
0.15000000000000002,1.6517678942411032,1.4241008997677391,1.794983805405584,1.3973180812248487
0.2,1.8218969227552464,1.320384010366952,1.7933989024358004,1.3963839430513805
0.25,1.9289282578946039,1.3883232791241762,1.791746800813893,1.3954055132332586
0.30000000000000004,1.58728111581398,1.3234896659517963,1.7901197461343221,1.3943695012884993
0.35000000000000003,1.6848663596025202,1.3550038230668726,1.7886838390239885,1.3932965126671917
0.4,1.8309352221937252,1.380567788397874,1.7873654557548773,1.3922383075070388
0.45,1.9030889233890917,1.5157216758428365,1.786103488644317,1.3912318083057837
0.5,1.5131422483791097,1.431045047934873,1.78484934605498,1.3902990999212097
0.55,1.6671620856804321,1.4194948904757592,1.7835669523948818,1.3894474295711392
0.6000000000000001,1.8126045818396461,1.604419084020001,1.7822327481173816,1.3886692068334354
0.65,1.9231441634455377,1.249862304851523,1.7808356897211821,1.3879420036460006
0.7000000000000001,1.6616082625906534,1.0871709946034267,1.779377249750329,1.3872285543067777
0.75,1.652862123583229,1.4279163101862795,1.7778714167942122,1.386476755473749
0.8,1.8245541233945552,1.3163353473832395,1.7763446954875644,1.385619666164937
0.8500000000000001,1.7884817584110881,1.4833260524574046,1.7748361065104623,1.3845755077584037
0.9,1.8462802229520507,1.3403216039951955,1.7733552097273186,1.3833979135181507
0.9500000000000001,1.8417290892420055,1.3912705529323581,1.7718735090392537,1.3822527536984817
1.0,1.62991940163614,1.5012150229099706,1.7703994703448438,1.3811445300670182
1.05,1.7373840722435059,1.427670176462314,1.768940508013013,1.38007583224524
1.1,1.7641354299780665,1.4234451533788168,1.76750272171774,1.379048354419272
1.1500000000000001,1.7350768011992632,1.2758551600429886,1.766090896438059,1.3780628953398848
1.2000000000000002,1.8645626503387827,1.1193031368944437,1.7647085024580604,1.3771193583224943
1.25,1.673616664598385,1.619572870789027,1.763357695366889,1.376216751247162
1.3,1.8260699041028825,1.3968056116864105,1.7620393160587458,1.3753531865585937
1.35,1.6673278650539676,1.4552922311883205,1.7607528907328869,1.3745258812661423
1.4000000000000001,1.792744056471576,1.4048935616044367,1.7594966308936237,1.3737311569438047
1.4500000000000002,1.8188161372401073,1.4608042184612735,1.7582674333503232,1.3729644397302236
1.5,1.7886563637337094,1.5658740610375237,1.7570608802174081,1.372220260328687
1.55,1.7977647986699687,1.4748486643238299,1.7558712389143563,1.3714922540071286
1.6,1.7186300715147473,1.3102460853977793,1.7546914621657008,1.370773160598127
1.6500000000000001,1.6696146095351072,1.4098051559750335,1.7535131880010304,1.3700548244989064
1.7000000000000002,1.8053158896542079,1.4651879208418521,1.7523267397549895,1.369328194671336
1.75,1.731193480370974,1.4249732364536007,1.7511211260672774,1.3685833246419312
1.8,1.7302460439651317,1.3899140487980932,1.7498840408826495,1.3678093725018519
1.85,1.6100141966690256,1.2428934440828194,1.748601863450916,1.3669946009069038
1.9000000000000001,1.7669059490955086,1.1694510310999349,1.7472596583269429,1.366126377077538
1.9500000000000002,1.8101606202011156,1.3597323266534067,1.745869547833195,1.3652096637489892
2.0,1.7490347447866457,1.5850145055859421,1.7445044021999638,1.3642911412776795
2.0500000000000003,1.7858079186072877,1.3617971612269562,1.7431670342451184,1.3633740767324734
2.1,1.750074961002117,1.3661069317093693,1.7418552118148212,1.3624584951465126
2.15,1.8640322917332168,1.2328365647693815,1.7405667509199536,1.3615444303207458
2.2,1.8058163648197962,1.261270904562286,1.7392995157361169,1.3606319248239271
2.25,1.6653352391326455,1.378712114665884,1.738051418603632,1.359721029992617
2.3000000000000003,1.5000254129175685,1.4063546158996414,1.7368204200275397,1.3588118059311824
2.35,1.874584181825262,1.3192175485205913,1.7356045286776003,1.3579043215117963
2.4000000000000004,1.6128858387820657,1.2485501759687159,1.7344018013882938,1.3569986543744377
2.45,1.758889711443916,1.5255337759690533,1.73321034315882,1.356094890926892
2.5,1.741666016798087,1.31916358342476,1.732028307153098,1.3551931263447508
2.5500000000000003,1.7237935395489903,1.4291165005952393,1.7308538946997667,1.3542934645714113
2.6,1.8847928952771822,1.486268313747441,1.7296853552921851,1.353396018318078
2.6500000000000004,1.7960742898736357,1.409910613938938,1.7285209865884312,1.352500909063761
2.7,1.7643407966163625,1.293144145055225,1.7273591344113035,1.351608267055276
2.75,1.9609885745450406,1.4859674202586854,1.7261981927483192,1.3507182313072459
2.8000000000000003,1.6597978038872063,1.4685516089335178,1.7250366037517157,1.3498309496020993
2.85,1.8189876256200723,1.4099000606575576,1.7238728577384503,1.3489465784900707
2.9000000000000004,1.6260722131196987,1.610398487491569,1.7227054931901995,1.3480652832892017
2.95,1.7738922044186276,1.4021257753014686,1.7215330967533597,1.3471872380853391
3.0,1.7701691683964287,1.4676916798795494,1.7203543032390467,1.3463126257321365
3.0500000000000003,1.8948423609706841,1.437296898088189,1.7191677956230966,1.3454416378510532
3.1,1.7697133738212167,1.5020284086203528,1.7179723050460642,1.3445744748313553
3.1500000000000004,1.6918226042842124,1.498112785200824,1.7167666108132251,1.3437113458301146
3.2,1.7394420509051205,1.5629859383611955,1.7155495403945737,1.3428524687722094
3.25,1.7010489252203695,1.3606146663976244,1.7143199694248243,1.3419980703503238
3.3000000000000003,1.6473620110259226,1.5518321773696178,1.7130768217034111,1.3411483860249487
3.35,1.8531107089712449,1.5881459209942521,1.711819069194488,1.3403036600243805
3.4000000000000004,1.5809893283530607,1.4431886271700969,1.7105457320269277,1.3394641453447222
3.45,1.6398746825426362,1.238427641015137,1.7092558784943237,1.338630103749883
3.5,1.6993949513555806,1.325365031584692,1.7079486250549887,1.3378018057715781
3.5500000000000003,1.778808578925877,1.4595616051000704,1.706623136331955,1.3369795307093288
3.6,1.7973355199027834,1.516626602544318,1.7052786251129748,1.3361635666304632
3.6500000000000004,1.5556665444024629,1.3920466220940835,1.7039143523505196,1.3353542103701148
3.7,1.7740036586101673,1.366606797200456,1.7025296271617807,1.334551767531224
3.75,1.6952001631543303,1.4233721692647028,1.7011238068286694,1.3337565524845365
3.8000000000000003,1.7479856122595876,1.4438927925742977,1.6996962967978164,1.3329688883686053
3.85,1.4889325210592468,1.4069341130322228,1.698246550680572,1.3321891070897884
3.9000000000000004,1.7583598933834155,1.4591817771730746,1.696774070253006,1.3314175493222513
