Tiempo [s],h3_Real [cm],h3_Koopman [cm],h4_Real [cm],h4_Koopman [cm]
0.0,1.9317814174785348,1.9317814174045354,1.340666595139033,1.340666594886671
0.05,1.8820026261690674,1.9308843574165704,1.3523597528627485,1.3409779876553418
0.1,1.8218578903695064,1.9291623256074204,1.3790149645766774,1.3414043105232494
0.15000000000000002,1.6517678942411032,1.927489170311216,1.4241008997677391,1.3418781294275417
0.2,1.8218969227552464,1.9259208509699133,1.320384010366952,1.3421977263890041
0.25,1.9289282578946039,1.9243808186771256,1.3883232791241762,1.342547643095608
0.30000000000000004,1.58728111581398,1.9228173726237885,1.3234896659517963,1.3428913513346792
0.35000000000000003,1.6848663596025202,1.921279190135193,1.3550038230668726,1.3431820541239285
0.4,1.8309352221937252,1.9197317049397156,1.380567788397874,1.3434807409368585
0.45,1.9030889233890917,1.9182463213805214,1.5157216758428365,1.3438098645866425
0.5,1.5131422483791097,1.9168072607142252,1.431045047934873,1.3441146066582208
0.55,1.6671620856804321,1.9153598602948445,1.4194948904757592,1.3443859322457667
0.6000000000000001,1.8126045818396461,1.9139030407594826,1.604419084020001,1.3446687892161764
0.65,1.9231441634455377,1.9124408042683942,1.249862304851523,1.3449430485718408
0.7000000000000001,1.6616082625906534,1.9110285522616788,1.0871709946034267,1.345226986848983
0.75,1.652862123583229,1.9096203836906096,1.4279163101862795,1.3455277965618633
0.8,1.8245541233945552,1.9082118410669269,1.3163353473832395,1.3458348908423652
0.8500000000000001,1.7884817584110881,1.9067982695400738,1.4833260524574046,1.3461324818159937
0.9,1.8462802229520507,1.905396627175005,1.3403216039951955,1.3464135777541424
0.9500000000000001,1.8417290892420055,1.9039692004305973,1.3912705529323581,1.3467022720081554
1.0,1.62991940163614,1.9025584736068253,1.5012150229099706,1.3469833849829251
1.05,1.7373840722435059,1.9011733448781758,1.427670176462314,1.347255282039402
1.1,1.7641354299780665,1.8997934201275983,1.4234451533788168,1.3475278336173435
1.1500000000000001,1.7350768011992632,1.8984327522602518,1.2758551600429886,1.3477936769836167
1.2000000000000002,1.8645626503387827,1.8970824447853079,1.1193031368944437,1.3480509708626522
1.25,1.673616664598385,1.8957418409606512,1.619572870789027,1.3483222034843978
1.3,1.8260699041028825,1.8944270868141395,1.3968056116864105,1.3485800408751638
1.35,1.6673278650539676,1.8931466319875503,1.4552922311883205,1.3488519192314796
1.4000000000000001,1.792744056471576,1.8918614716725572,1.4048935616044367,1.3491289785846878
1.4500000000000002,1.8188161372401073,1.890573542907949,1.4608042184612735,1.34941330301814
1.5,1.7886563637337094,1.8892865224627895,1.5658740610375237,1.349694387137345
1.55,1.7977647986699687,1.888006574038205,1.4748486643238299,1.3499747413793786
1.6,1.7186300715147473,1.8867443130259274,1.3102460853977793,1.3502572522239416
1.6500000000000001,1.6696146095351072,1.88548222645711,1.4098051559750335,1.3505319198236259
1.7000000000000002,1.8053158896542079,1.8842398746484164,1.4651879208418521,1.3508211405966177
1.75,1.731193480370974,1.883006915826304,1.4249732364536007,1.3511168935055693
1.8,1.7302460439651317,1.8817799707420695,1.3899140487980932,1.3514171276145848
1.85,1.6100141966690256,1.8805575553634988,1.2428934440828194,1.3517201910329364
1.9000000000000001,1.7669059490955086,1.879330163829658,1.1694510310999349,1.3520170587806781
1.9500000000000002,1.8101606202011156,1.878107211836377,1.3597323266534067,1.352309761254961
2.0,1.7490347447866457,1.8768827185503052,1.5850145055859421,1.3526081201087794
2.0500000000000003,1.7858079186072877,1.8756533953923842,1.3617971612269562,1.352900841032387
2.1,1.750074961002117,1.874433174414203,1.3661069317093693,1.3531973994279374
2.15,1.8640322917332168,1.8732085383611083,1.2328365647693815,1.3534939727663968
2.2,1.8058163648197962,1.8719867237809316,1.261270904562286,1.3537851299059875
2.25,1.6653352391326455,1.8707593937521627,1.378712114665884,1.354078249690734
2.3000000000000003,1.5000254129175685,1.869545964900127,1.4063546158996414,1.3543610613684578
2.35,1.874584181825262,1.8683468838454107,1.3192175485205913,1.3546444966790232
2.4000000000000004,1.6128858387820657,1.8671385693978402,1.2485501759687159,1.3549236621530123
2.45,1.758889711443916,1.8659181170979684,1.5255337759690533,1.3551968939568646
2.5,1.741666016798087,1.8647087963369773,1.31916358342476,1.3554660123510058
2.5500000000000003,1.7237935395489903,1.8635130806287121,1.4291165005952393,1.3557333760783343
2.6,1.8847928952771822,1.862324270604163,1.486268313747441,1.356000357980684
2.6500000000000004,1.7960742898736357,1.861128359589053,1.409910613938938,1.3562723818420248
2.7,1.7643407966163625,1.859936683108451,1.293144145055225,1.3565439063648037
2.75,1.9609885745450406,1.8587692761894483,1.4859674202586854,1.3568152680815952
2.8000000000000003,1.6597978038872063,1.8576177548995656,1.4685516089335178,1.357080950388052
2.85,1.8189876256200723,1.856480876247123,1.4099000606575576,1.357348592904299
2.9000000000000004,1.6260722131196987,1.8553423820437587,1.610398487491569,1.3576073902632337
2.95,1.7738922044186276,1.854204899193721,1.4021257753014686,1.3578739007428204
3.0,1.7701691683964287,1.8530496233573543,1.4676916798795494,1.3581386055167783
3.0500000000000003,1.8948423609706841,1.8519027274288231,1.437296898088189,1.3583984335291066
3.1,1.7697133738212167,1.8507429927533006,1.5020284086203528,1.3586670381757144
3.1500000000000004,1.6918226042842124,1.8495757133565272,1.498112785200824,1.3589396487158438
3.2,1.7394420509051205,1.8484223394910153,1.5629859383611955,1.3592080262834072
3.25,1.7010489252203695,1.8472711736113097,1.3606146663976244,1.3594695896828288
3.3000000000000003,1.6473620110259226,1.846129918167106,1.5518321773696178,1.3597264910518387
3.35,1.8531107089712449,1.8449918188942471,1.5881459209942521,1.359984315577476
3.4000000000000004,1.5809893283530607,1.8438489948886174,1.4431886271700969,1.3602421503043738
3.45,1.6398746825426362,1.8427171339065072,1.238427641015137,1.360500400122197
3.5,1.6993949513555806,1.8415916350882733,1.325365031584692,1.360760224453409
3.5500000000000003,1.778808578925877,1.8404763163394464,1.4595616051000704,1.3610174654018625
3.6,1.7973355199027834,1.8393634100554932,1.516626602544318,1.3612659331165664
3.6500000000000004,1.5556665444024629,1.8382631294882583,1.3920466220940835,1.361518288653904
3.7,1.7740036586101673,1.8371509836041684,1.366606797200456,1.3617620251611178
3.75,1.6952001631543303,1.836033181862947,1.4233721692647028,1.3620102001377994
3.8000000000000003,1.7479856122595876,1.8349255515281515,1.4438927925742977,1.3622552556829692
3.85,1.4889325210592468,1.8338320838495876,1.4069341130322228,1.3625022405806662
3.9000000000000004,1.7583598933834155,1.8327375784410886,1.4591817771730746,1.3627508491448344
3.95,1.7360846950333138,1.8316477726653289,1.3694546488299701,1.363004901789239
4.0,1.7283955324459277,1.8305559130394122,1.453529238587481,1.363263926470496
4.05,1.6784162368739886,1.829458626090489,1.4638796878369884,1.363523637528704
4.1000000000000005,1.66463193328725,1.8283611020317778,1.4892897009194075,1.3637782018144307
4.15,1.6792236507128169,1.827267412796917,1.3474998140690757,1.3640312771055283
4.2,1.8674598530812447,1.8261773142548492,1.5567972407366892,1.3642893201377349
4.25,1.898680441469046,1.8250881393943974,1.4237086502838112,1.3645485339769814
4.3,1.8600130726895217,1.823994407680749,1.395878251542633,1.3648053195090608
4.3500000000000005,1.663623858577886,1.8229032447450364,1.4303079713118179,1.3650628774271867
4.4,1.8618866524716309,1.8218188317569028,1.2950367256296977,1.3653184409934527
4.45,1.71256864534704,1.8207407079314861,1.2950747988409534,1.36556978715089
4.5,1.6932218966414936,1.8196564241109874,1.446782728228148,1.3658167537265784
4.55,1.7769056190904926,1.8185741846668464,1.4003904783884653,1.3660662225509852
4.6000000000000005,1.6792075322825128,1.8174993105446506,1.5500751056246744,1.366321146927465
4.65,1.6760689527938264,1.8164363155825,1.3458731391967778,1.3665717956305756
4.7,1.7764642746136792,1.8153691064321906,1.3367071885690582,1.366820013482063
4.75,1.7140289112785134,1.8143037447031496,1.3862203863451474,1.3670664085352835
4.800000000000001,1.7220518041328983,1.8132409613957108,1.4719993768464121,1.367306147886518
4.8500000000000005,1.6675619609790961,1.812182794835643,1.4047630195723682,1.3675465005761673
4.9,1.683845971299641,1.8111295177587607,1.4922879355288619,1.367782722618016
4.95,1.587648460338969,1.81008372997149,1.3900007228121798,1.3680158515469516
5.0,1.8136388808884938,1.8090306106215377,1.4547206354595061,1.3682407680806445
5.050000000000001,1.6888189188545373,1.8079912023004467,1.4931903386058922,1.3684625846983274
5.1000000000000005,1.6134165554386233,1.8069598518534231,1.3107969973231317,1.3686884951695837
5.15,1.7996276643035662,1.8059248884981511,1.42401966492857,1.3689142578178515
5.2,1.699670969317048,1.8048978503583923,1.322232690038114,1.3691378824576046
5.25,1.8596471021833516,1.8038821591876109,1.3780597333284725,1.369362573814685
5.300000000000001,1.6920978768011132,1.80287103883478,1.384661021473612,1.3695859599774476
5.3500000000000005,1.7162648570201866,1.8018615401476417,1.3958232317458859,1.3698147562601384
5.4,1.6957765659959627,1.8008459968483288,1.3647201112840646,1.3700437950632216
5.45,1.7753833005953423,1.799842204531307,1.4603220964216401,1.3702742004225472
5.5,1.8895168624002143,1.79883930573985,1.3429813490618367,1.3705104894543398
5.550000000000001,1.580319233402881,1.7978336311561944,1.3997969697003154,1.3707497590791224
5.6000000000000005,1.6672101825115557,1.7968422145833802,1.483334878633734,1.3709915117654627
5.65,1.7934330061560297,1.7958442840406832,1.4646809256025852,1.3712292578577665
5.7,1.5095364588876374,1.794845463851153,1.4467619435064147,1.3714558669501908
5.75,1.6948256633610679,1.7938531428727356,1.3115896663934654,1.371681829289848
5.800000000000001,1.8637773830011093,1.7928489706298756,1.4206128635921402,1.3719073356287599
5.8500000000000005,1.9121420296364533,1.791845612813848,1.4900637107503991,1.3721371652056138
5.9,1.6233318872237341,1.7908423805191374,1.2507294726472082,1.3723660453415891
5.95,1.6687991695882967,1.7898463500875421,1.3773531723377923,1.3725945818424943
6.0,1.669634035998023,1.7888448018329393,1.2966701695979737,1.3728307418598442
6.050000000000001,1.7679756689181363,1.7878448811976058,1.3797178415045888,1.3730577468424123
6.1000000000000005,1.9164132606064592,1.7868359534330114,1.4336723302634846,1.37327766741816
6.15,1.5434530739517447,1.7858308842545778,1.3793710999656708,1.3734978337970443
6.2,1.5305949050869148,1.7848438566375753,1.476181198983371,1.3737117587445404
6.25,1.670781813528202,1.7838594548161892,1.3774820624130804,1.3739271633354977
6.300000000000001,1.696694247250904,1.7828701548124783,1.3610829332012178,1.3741464074111818
6.3500000000000005,1.6506720112079232,1.781886132379827,1.5152033807323904,1.3743602319840338
