Tiempo [s],h1_Real [cm],h1_Koopman_Lin [cm],h2_Real [cm],h2_Koopman_Lin [cm]
0.0,12.345720491220051,12.345720491220549,12.704145693768995,12.704145693785563
0.05,12.35219665482018,12.346585127387643,12.569857137963842,12.703818854588791
0.1,12.537900054373226,12.347744164984599,12.732426958747649,12.702420081056417
0.15000000000000002,12.49894617069396,12.349024150771374,12.748293755323537,12.701081296874923
0.2,12.486877920795486,12.349900149682108,12.56808090182734,12.699874262704604
0.25,12.505290868655761,12.350852360721735,12.855915854139733,12.6987005651253
0.30000000000000004,12.575539080587127,12.351785561501377,12.640608803900866,12.697493046825294
0.35000000000000003,12.41540854403686,12.352578002203124,12.649278503377237,12.696314571969605
0.4,12.220200956198003,12.353388315059316,12.71797297971039,12.695120574653082
0.45,12.345121969217384,12.354275287130923,12.652500100608185,12.694003813415655
0.5,12.505987315522145,12.355096303122926,12.637079334643643,12.692943705665089
0.55,12.419543316896107,12.355827650060217,12.72700027168177,12.691869335637925
0.6000000000000001,12.48353390457682,12.356586286017679,12.722516029941172,12.69077947123166
0.65,12.296365306724955,12.357319811079162,12.63184275708353,12.689679202145564
0.7000000000000001,12.469054768912482,12.358076023002155,12.639570463980686,12.688640489338342
0.75,12.190888522582476,12.358873611206995,12.75237053384733,12.687603928454267
0.8,12.356860741688692,12.359685040245672,12.568451028770946,12.686563716733083
0.8500000000000001,12.353933660222637,12.360469191028477,12.67374192986764,12.685513741889698
0.9,12.323569723896004,12.36120788905486,12.670307314254897,12.684475949224984
0.9500000000000001,12.3097903083143,12.361963716277899,12.674846746905393,12.683401530874393
1.0,12.621437050436025,12.362697270972703,12.646897730891963,12.682345497181782
1.05,12.302084455556697,12.363404354499803,12.67157013142232,12.681319409900672
1.1,12.390909757783291,12.364110630672979,12.726662467486126,12.68029689728502
1.1500000000000001,12.276012458330365,12.364796997245376,12.623192739018673,12.679296169131053
1.2000000000000002,12.35822762709035,12.365458655593933,12.882167503371782,12.678305701071807
1.25,12.479475176037022,12.366154170266178,12.657168259698716,12.677324774042274
1.3,12.227544830829125,12.366812484669218,12.63417116081886,12.676374233838878
1.35,12.405754498500182,12.367505106953654,12.774509147200293,12.675465230166562
1.4000000000000001,12.488189921331772,12.368208937064136,12.533548621610404,12.674547189786113
1.4500000000000002,12.435658687245239,12.368929413185398,12.72848677658823,12.673622639287386
1.5,12.44863239510511,12.369639207091362,12.678924610272716,12.672696299886118
1.55,12.405657142235631,12.370344874757508,12.783185301471024,12.671776183750643
1.6,12.333391831648802,12.371053989093149,12.75626846409079,12.670876098622635
1.6500000000000001,12.56413841429031,12.371740496563268,12.610064510925286,12.669973301720365
1.7000000000000002,12.223241824359555,12.37246276943679,12.68994702250582,12.669093294829047
1.75,12.54407880620959,12.37319997116011,12.847358269827245,12.668222675754519
1.8,12.360733933324855,12.37394679055025,12.659784893269071,12.667357078689138
1.85,12.257966789404506,12.374698948972759,12.658604127522093,12.66649458967724
1.9000000000000001,12.468945578718818,12.375432932984433,12.493682200647005,12.66562283629752
1.9500000000000002,12.49050735989126,12.376154036687106,12.606245149582923,12.664754032744021
2.0,12.495971106981827,12.376887814530855,12.819535121402684,12.663880478266812
2.0500000000000003,12.369654260023596,12.377604859855973,12.666002011593735,12.662997847853799
2.1,12.351165761702447,12.37832986861911,12.688439883562406,12.662124261680281
2.15,12.359737166791442,12.379052875093182,12.591128147488451,12.661242180915448
2.2,12.403259859442933,12.379759754188202,12.809495620304478,12.660360959403263
2.25,12.42870029968621,12.38046968479578,12.664334820066605,12.659469819670464
2.3000000000000003,12.654728245053578,12.381150776913223,12.85681816238705,12.658593884240876
2.35,12.45319282575441,12.38183150385267,12.733926777593544,12.657733810977867
2.4000000000000004,12.496544503606353,12.382499084347748,12.861312157320805,12.656858997710053
2.45,12.391498146778352,12.38314914545079,12.819191306502477,12.6559656421505
2.5,12.493755003572378,12.383786460301822,12.878416040617747,12.655083924770626
2.5500000000000003,12.511138753885698,12.38441719658563,12.698630338795445,12.65421708806116
2.6,12.379268704124385,12.38504493734917,12.718205782014655,12.653356471890719
2.6500000000000004,12.398331571823071,12.385683776596375,12.621207568502882,12.652483944892767
2.7,12.410760098896633,12.386319321234748,12.64444291148799,12.651614182227672
2.75,12.414142166313026,12.386952521836777,12.736159805211111,12.650773199566856
2.8000000000000003,12.46654501356191,12.387569049687245,12.369838473436813,12.649950132633027
2.85,12.477564804672243,12.38818881650175,12.471674941826345,12.649143439482074
2.9000000000000004,12.44524367946494,12.388783682654811,12.62088209704025,12.648331987353952
2.95,12.357944286888142,12.389396740651419,12.682869708246743,12.647519271539593
3.0,12.390819592507443,12.390003175574664,12.600562274257554,12.646680843493849
3.0500000000000003,12.488494584102323,12.390595025555168,12.731958110755201,12.645850619092517
3.1,12.187962942961711,12.391207782398146,12.664884573153842,12.64500115261041
3.1500000000000004,12.45699347266707,12.391829035253764,12.51943989501527,12.644139276285511
3.2,12.220278907926373,12.392437392528432,12.666029183296901,12.64329277421264
3.25,12.60346496060706,12.393026124911756,12.654596524252433,12.642446470988075
3.3000000000000003,12.467651648328186,12.393600847464409,12.801632033919576,12.641610373413812
3.35,12.509956559603971,12.394176094977421,12.690292130996628,12.640775764099285
3.4000000000000004,12.309404035295445,12.394749480259252,12.793558668162405,12.639932418097098
3.45,12.565725031036296,12.395322092520283,12.692638649235219,12.63910069297112
3.5,12.410020689927636,12.39589696679175,12.477472991635214,12.638274648967577
3.5500000000000003,12.548862855568132,12.39646331098009,12.602429453120891,12.637459233005911
3.6,12.332044110867901,12.397005009704714,12.55654708165677,12.636644342502787
3.6500000000000004,12.347930204013723,12.39755503634599,12.661744724597321,12.635843307246688
3.7,12.63751260217559,12.398080808397884,12.591376781157608,12.635024292565227
3.75,12.501845493237205,12.398616285521959,12.520339712675147,12.634195405792322
3.8000000000000003,12.336064340940954,12.39914183497185,12.532821508661193,12.633377140463475
