Métrica Global,Media,Desviación Estándar,IC_99%_Inferior,IC_99%_Superior,Margen_Error
SSE_Global,137.2202,2.9716,134.1663,140.2741,3.0539
RMSE_Global,0.0955,0.0011,0.0944,0.0966,0.0011
NRMSE_Global,0.0159,0.0002,0.0157,0.0161,0.0002
