Time_s,h1_ref,h2_ref,h1_real_pid,h2_real_pid,h1_measured_pid,h2_measured_pid,v1_pump,v2_pump
0.0,12,16,12.262967519550699,12.783158403008974,12.396000258915574,12.666934572756764,3.0,3.0
0.2,12,16,12.26213730634823,12.783785376050828,12.216765979394689,12.714342174785031,2.9,3.1
0.4,12,16,12.25965577356285,12.785661701111044,12.333858968208133,12.893548774062513,2.8,3.2
0.6000000000000001,12,16,12.255572973241103,12.788780521463213,12.098706096720763,12.896693723438892,2.7294824822229193,3.3000000000000003
0.8,12,16,12.2505867630706,12.793136025570382,12.286006405736309,12.849367789521363,2.6462699127135068,3.3999999999999995
1.0,12,16,12.244254955488962,12.798722399357102,12.072103462712144,12.799894297807526,2.6247156260494706,3.4999999999999987
1.2000000000000002,12,16,12.238996607810515,12.805536352671341,12.186082183267287,12.617683932067168,2.6990404607173835,3.5999999999999983
1.4000000000000001,12,16,12.233428591903557,12.813577130927158,12.269327090572682,12.86699627941043,2.6000127059828415,3.699999999999998
1.6,12,16,12.227819136791412,12.822840163549362,12.165052991742549,12.717157602094499,2.6928341997966156,3.7999999999999976
1.8,12,16,12.223588279036777,12.83332533021737,12.291695705431971,12.758278924662635,2.6993597613834726,3.899999999999998
2.0,12,16,12.218251851582208,12.845030223004619,12.270427104051196,12.911687545370437,2.5993597613834725,3.9999999999999982
2.2,12,16,12.211349496714053,12.857948294138867,12.20370037016628,12.80155168416013,2.4993597613834724,4.099999999999998
2.4000000000000004,12,16,12.20350835955284,12.872073190941109,12.138977534110793,12.880426144320266,2.5024493061712985,4.199999999999994
2.6,12,16,12.196115905699202,12.887401931914056,12.158072364645221,12.892372567006086,2.5079464772768416,4.299999999999992
2.8000000000000003,12,16,12.189246703456773,12.903932727950645,12.183000980255656,12.991336672589213,2.5540378720678665,4.3999999999999915
3.0,12,16,12.183387351045369,12.921664794111198,12.191157813360935,12.730381980937112,2.6123175915274874,4.49999999999999
3.2,12,16,12.178978407692115,12.940598278869764,11.965886557408808,12.91391157121875,2.712277610759592,4.59999999999999
3.4000000000000004,12,16,12.176059325169568,12.960734446615076,12.185679475667731,12.953267145287146,2.7262613296776874,4.69999999999999
3.6,12,16,12.173188971144766,12.982071881795559,11.984300498468748,12.912728353179824,2.7839744768629644,4.799999999999989
3.8000000000000003,12,16,12.172050005500342,13.004610059738326,12.103492693682984,13.027383895511484,2.883974476862964,4.89999999999999
4.0,12,16,12.171761478765541,13.028350008448044,12.08557118408079,12.98879146445244,2.832406257262097,4.999999999999989
4.2,12,16,12.170055785308282,13.053287599306977,12.178684827534704,13.076398212558798,2.732406257262097,5.099999999999988
4.4,12,16,12.166845675039719,13.079416135983896,12.365201734419452,13.059690926299098,2.632406257262097,5.199999999999988
4.6000000000000005,12,16,12.162264702825487,13.10672897374604,12.144703830750112,12.990454286416123,2.586747022768966,5.299999999999987
4.800000000000001,12,16,12.158643727545272,13.135222278207577,12.136714441887886,12.97525550479415,2.6867470227689663,5.399999999999987
5.0,12,16,12.156387840443339,13.164897080352157,12.217672387875021,13.363883837075953,2.679518955601598,5.499999999999985
