Time_s,h1_ref,h2_ref,h1_pinn_nmpc,h2_pinn_nmpc,v1_pump,v2_pump
0.0,12.0,16.0,12.407193506805879,12.705050289335581,3.2797564275627913,3.5
0.20002667022269635,12.0,16.0,12.422256999575195,12.720009162379775,3.7797564275627913,4.0
0.4000533404453927,12.0,16.0,12.425141809558879,12.739219070594324,3.2797564275627913,4.5
0.600080010668089,12.0,16.0,12.439967117809326,12.76891497443616,3.7797564275627913,5.0
0.8001066808907854,12.0,16.0,12.445274263795088,12.801506469582154,3.2797564275627913,5.5
1.0001333511134818,12.0,16.0,12.460743464220348,12.839168286101085,3.6429032871436413,6.0
1.200160021336178,12.0,16.0,12.483072716314833,12.876129271854023,4.142903287143641,6.0
1.4001866915588745,12.0,16.0,12.494737992319424,12.913706514076011,3.642903287143641,6.0
1.6002133617815708,12.0,16.0,12.497763491045166,12.951213844653326,3.142903287143641,6.0
1.800240032004267,12.0,16.0,12.49748972332266,12.98795454679092,2.8685710889217653,6.0
2.0002667022269636,12.0,16.0,12.505804836499081,13.02430366146075,3.3685710889217653,6.0
2.20029337244966,12.0,16.0,12.512289059571659,13.06158085575613,3.1880485050353276,6.0
2.400320042672356,12.0,16.0,12.506081547422362,13.098769490800665,2.6880485050353276,6.0
2.6003467128950524,12.0,16.0,12.49419418763422,13.135427446549295,2.3856980185680183,6.0
2.800373383117749,12.0,16.0,12.49600691575891,13.168650127358264,2.8856980185680183,6.0
3.0004000533404453,12.0,16.0,12.50103059508512,13.205554493037162,2.9942142033640953,6.0
3.2004267235631416,12.0,16.0,12.513045123077498,13.238800284719805,3.4942142033640953,6.0
3.400453393785838,12.0,16.0,12.515853869010856,13.27557325269318,2.9942142033640953,6.0
3.600480064008534,12.0,16.0,12.527517376320866,13.310882831557427,3.1115888070713584,6.0
3.800506734231231,12.0,16.0,12.525685840951104,13.344462835104322,2.6115888070713584,6.0
4.000533404453927,12.0,16.0,12.518486612280572,13.380995107984642,2.1115888070713584,6.0
4.200560074676623,12.0,16.0,12.512448851778872,13.41529494834359,2.4118055511833685,6.0
4.40058674489932,12.0,16.0,12.503846744381772,13.451617599027635,2.0107839177114486,6.0
4.600613415122016,12.0,16.0,12.499762529595323,13.486929704589334,2.478903523496009,6.0
4.800640085344712,12.0,16.0,12.48849566452094,13.5230398933778,1.978903523496009,6.0
5.0006667555674085,12.0,16.0,12.480449073985792,13.559036307940696,2.245759047395982,6.0
5.200693425790105,12.0,16.0,12.48453408941727,13.59483174780776,2.745759047395982,6.0
5.400720096012802,12.0,16.0,12.476585996550714,13.629149597025238,2.245759047395982,6.0
5.600746766235498,12.0,16.0,12.464083326832148,13.664845054282445,1.7457590473959819,6.0
5.800773436458194,12.0,16.0,12.45710316193487,13.699872309737186,2.0800141256284492,6.0
6.000800106680891,12.0,16.0,12.453851784531194,13.735352630542005,2.1108140388312724,6.0
6.200826776903587,12.0,16.0,12.44059272517775,13.77033253680579,1.779545818863281,6.0
6.400853447126283,12.0,16.0,12.426725950987223,13.803655533361042,1.6424598651188103,6.0
6.6008801173489795,12.0,16.0,12.411191487261194,13.838780629613483,1.8263582367847777,6.0
6.800906787571676,12.0,16.0,12.404666466429473,13.870802275369508,2.3263582367847775,6.0
7.000933457794372,12.0,16.0,12.3924951305403,13.905704087037037,1.9543526608587443,6.0
7.200960128017068,12.0,16.0,12.373240235537502,13.940477091821284,1.5006976022246263,6.0
7.400986798239765,12.0,16.0,12.362474961321434,13.974445213630494,2.0006976022246263,6.0
7.601013468462462,12.0,16.0,12.347509954393015,14.008971381158029,1.6169557985691791,6.0
7.801040138685158,12.0,16.0,12.3386302264748,14.043378699693438,2.116955798569179,6.0
8.001066808907854,12.0,16.0,12.33425687473095,14.077196086775672,2.417576743581594,6.0
8.20109347913055,12.0,16.0,12.329365796847677,14.110852950364,2.246196575530435,6.0
8.401120149353247,12.0,16.0,12.314935853627961,14.144944401310708,1.7461965755304352,6.0
8.601146819575943,12.0,16.0,12.312253905360382,14.176914452475117,2.246196575530435,6.0
8.80117348979864,12.0,16.0,12.300942669683282,14.209321658954277,1.7461965755304352,6.0
