Time_s,h1_ref,h2_ref,h1_bilinear_koopman_nmpc,h2_bilinear_koopman_nmpc,v1_pump,v2_pump
0.0,12.0,16.0,12.391992444121554,12.705718955540442,2.5,3.5
0.20002667022269635,12.0,16.0,12.373165143316289,12.719996807741806,2.0,4.0
0.4000533404453927,12.0,16.0,12.348085402392478,12.735884248418284,1.5,4.5
0.600080010668089,12.0,16.0,12.319957348726335,12.761298371334675,1.0,5.0
0.8001066808907854,12.0,16.0,12.278148056599882,12.791961611050773,0.5,5.5
1.0001333511134818,12.0,16.0,12.230262678365655,12.824594914884665,0.0,6.0
1.200160021336178,12.0,16.0,12.186997652310133,12.861590957834096,0.5,6.0
1.4001866915588745,12.0,16.0,12.154265672142058,12.898405476210028,1.0,6.0
1.6002133617815708,12.0,16.0,12.135103489299937,12.935069448671811,1.5,6.0
1.800240032004267,12.0,16.0,12.103621555512499,12.967980703430714,1.0,6.0
2.0002667022269636,12.0,16.0,12.063944309398142,13.004327576286585,0.5,6.0
2.20029337244966,12.0,16.0,12.032035476768625,13.040497844789368,1.0,6.0
2.400320042672356,12.0,16.0,12.012899797576752,13.076518411423322,1.5,6.0
2.6003467128950524,12.0,16.0,12.002256737456813,13.110840058227856,2.0,6.0
2.800373383117749,12.0,16.0,11.991341941077813,13.144802141625412,2.5,6.0
3.0004000533404453,12.0,16.0,11.994796555637244,13.180299227024465,3.0,6.0
3.2004267235631416,12.0,16.0,11.99372255004037,13.213488520867886,2.5,6.0
3.400453393785838,12.0,16.0,11.997635906705835,13.247663908885894,3.0,6.0
3.600480064008534,12.0,16.0,11.993690390671864,13.28313439547151,2.5,6.0
3.800506734231231,12.0,16.0,11.997208507785063,13.318521251629653,3.0,6.0
4.000533404453927,12.0,16.0,12.011849167792848,13.353848955119211,3.5,6.0
4.200560074676623,12.0,16.0,12.017325995388164,13.389119756191871,3.0,6.0
4.40058674489932,12.0,16.0,12.013927403384304,13.424309491061408,2.5,6.0
4.600613415122016,12.0,16.0,12.020483356077362,13.45941948444257,3.0,6.0
4.800640085344712,12.0,16.0,12.037265148828515,13.494476280406637,3.5,6.0
5.0006667555674085,12.0,16.0,12.054751404322692,13.529493963652342,3.660517074754712,6.0
5.200693425790105,12.0,16.0,12.062543783445664,13.564460239514455,3.190499901159937,6.0
5.400720096012802,12.0,16.0,12.060441535222909,13.599349000646987,2.690499901159937,6.0
5.600746766235498,12.0,16.0,12.069449844546417,13.633144784724752,3.190499901159937,6.0
5.800773436458194,12.0,16.0,12.07394035517787,13.667892261184653,2.690499901159937,6.0
6.000800106680891,12.0,16.0,12.06260535351125,13.700736743540276,2.190499901159937,6.0
6.200826776903587,12.0,16.0,12.063358042957773,13.7323830753871,2.690499901159937,6.0
6.400853447126283,12.0,16.0,12.062369896909956,13.766861091039862,2.190499901159937,6.0
6.6008801173489795,12.0,16.0,12.054949260870487,13.801242523427602,2.0951715171761647,6.0
6.800906787571676,12.0,16.0,12.040405555554546,13.834780674255358,1.5951715171761647,6.0
7.000933457794372,12.0,16.0,12.03253030226524,13.868933994780388,2.0951715171761647,6.0
7.200960128017068,12.0,16.0,12.016201349699255,13.902657783534991,1.5951715171761647,6.0
7.400986798239765,12.0,16.0,12.00287339047814,13.93656959798215,2.0951715171761647,6.0
7.601013468462462,12.0,16.0,11.991944561614309,13.970364006945205,1.8665803306915316,6.0
7.801040138685158,12.0,16.0,11.973894637240367,14.001607801932376,1.3665803306915316,6.0
8.001066808907854,12.0,16.0,11.966770422181584,14.035165121689635,1.8665803306915316,6.0
8.20109347913055,12.0,16.0,11.967547719090183,14.064188477319954,2.240413278310635,6.0
8.401120149353247,12.0,16.0,11.970878620229813,14.09635142144474,2.740413278310635,6.0
8.601146819575943,12.0,16.0,11.967023250086264,14.129663636620931,2.240413278310635,6.0
8.80117348979864,12.0,16.0,11.9711721706589,14.160713138615652,2.6593507972942847,6.0
9.001200160021336,12.0,16.0,11.968555327206849,14.193863444977648,2.1593507972942847,6.0
9.201226830244032,12.0,16.0,11.959407640923482,14.226824514138322,1.8198314796335189,6.0
9.401253500466728,12.0,16.0,11.95618910680195,14.25974514236564,2.24040654033364,6.0
9.601280170689424,12.0,16.0,11.959573397509008,14.29061050261236,2.690419093434014,6.0
9.80130684091212,12.0,16.0,11.976665321943548,14.323422988992217,3.190419093434014,6.0
10.001333511134817,12.0,16.0,11.996268370290943,14.353389377007172,3.690419093434014,6.0
10.201360181357513,12.0,16.0,12.010335047413552,14.386134032269913,3.190419093434014,6.0
10.40138685158021,12.0,16.0,12.031244215849568,14.415462546892776,3.590605942886567,6.0
10.601413521802906,12.0,16.0,12.04532161411105,14.44813879290391,3.090605942886567,6.0
10.801440192025604,12.0,16.0,12.065868443420442,14.480776411482136,3.590605942886567,6.0
11.0014668622483,12.0,16.0,12.07650124590121,14.509550895980759,3.090605942886567,6.0
11.201493532470996,12.0,16.0,12.080539067632818,14.537912786762037,2.590605942886567,6.0
11.401520202693693,12.0,16.0,12.076918731861545,14.564755161155105,2.090605942886567,6.0
11.601546872916389,12.0,16.0,12.064652894385214,14.597119149382126,1.590605942886567,6.0
11.801573543139085,12.0,16.0,12.048910776557634,14.62935973616235,1.464033130883009,6.0
12.001600213361781,12.0,16.0,12.04063021489944,14.661046695010315,1.7931714512224441,6.0
12.201626883584478,12.0,16.0,12.026326914345466,14.692997470094685,1.2931714512224441,6.0
12.401653553807174,12.0,16.0,12.00166825313282,14.724867297636152,0.7931714512224441,6.0
12.60168022402987,12.0,16.0,11.98023374791895,14.756589346907225,1.2931714512224441,6.0
12.801706894252566,12.0,16.0,11.970434245581577,14.78725796959942,1.7931714512224441,6.0
