Tiempo [s],h1_Real [cm],h2_Real [cm],h3_Real [cm],h4_Real [cm],h1_Ref [cm],h2_Ref [cm],v1_Bomba [V],v2_Bomba [V]
0.0,12.392303725284647,12.697229800859649,1.7963922692449314,1.3968162384475955,12.0,12.0,2.5,2.5
0.20002667022269635,12.375009712612767,12.683362714573116,1.7844064286199721,1.390076068866776,12.009426019256072,12.009426019256072,2.0,2.0
0.4000533404453927,12.355861899237409,12.661677045149068,1.7665948948901828,1.3827131222671931,12.018851945456325,12.018851945456325,1.5,1.5
0.600080010668089,12.324089543164202,12.632225247780514,1.7430475239344196,1.3707160465866568,12.028277685545861,12.028277685545861,1.0,1.0
0.8001066808907854,12.285532386707066,12.605340713477421,1.7216674384200241,1.3562931791671478,12.037703146471618,12.037703146471618,0.5,0.5
1.0001333511134818,12.252979639319804,12.567693966973641,1.6923185490084076,1.3442503714938225,12.04712823518329,12.04712823518329,1.0,0.0
1.200160021336178,12.21282848683865,12.530039805355578,1.6632219667906685,1.3295002356365797,12.056552858634248,12.056552858634248,0.5,0.0
1.4001866915588745,12.181744882404452,12.4942715553644,1.6358135702264074,1.3182885363951136,12.06597692378245,12.06597692378245,0.9596112379224959,0.0
1.6002133617815708,12.140344588587073,12.45813083024015,1.6083696139456265,1.3033445817569536,12.075400337591374,12.075400337591374,0.4596112379224959,0.0
1.800240032004267,12.106723731355206,12.421960977156981,1.581154534076951,1.291456018053212,12.084823007030918,12.084823007030918,0.9596112379224959,0.0
2.0002667022269636,12.079451196835656,12.391410295227931,1.5584429285622623,1.2820686137599535,12.094244839078339,12.094244839078339,1.459611237922496,0.5
2.20029337244966,12.06419882726358,12.353755689052775,1.5305260308942676,1.2772977692334206,12.103665740719155,12.103665740719155,1.959611237922496,0.0
2.400320042672356,12.054092655448736,12.317053301024357,1.5035402025486178,1.2745610174166762,12.11308561894807,12.11308561894807,2.4596112379224957,0.0
2.6003467128950524,12.047810771490013,12.28300493102009,1.478763397339658,1.2733510919003075,12.122504380769893,12.122504380769893,2.9596112379224957,0.0
2.800373383117749,12.047310618737125,12.254690148466088,1.4585098503645166,1.2743837438492442,12.13192193320045,12.13192193320045,2.799782483027835,0.5
3.0004000533404453,12.050332897289424,12.231312626138132,1.4421347128942814,1.2767906477005686,12.141338183267514,12.141338183267514,3.299782483027835,1.0
3.2004267235631416,12.062933342545966,12.208167185608124,1.4260258610049734,1.2828263321213231,12.150753038011707,12.150753038011707,3.799782483027835,1.5
3.400453393785838,12.082103703332125,12.198452377121743,1.4201860458867483,1.291332977615719,12.160166404487434,12.160166404487434,4.299782483027835,2.0
3.600480064008534,12.106413756600512,12.194372358455402,1.4186123976789127,1.301740775351315,12.169578189763783,12.169578189763783,4.799782483027835,2.5
3.800506734231231,12.123233352084432,12.196106920516298,1.421413732666153,1.3093002239630993,12.178988300925461,12.178988300925461,4.299782483027835,3.0
4.000533404453927,12.137556729022211,12.20035148570751,1.4260603658305637,1.3158805156956386,12.188396645073698,12.188396645073698,3.84108030114141,3.5
4.200560074676623,12.155096656474516,12.211867050280286,1.4361535609315,1.3236110645380006,12.197803129327168,12.197803129327168,4.341080301141409,4.0
4.40058674489932,12.184411080839423,12.220839043230844,1.4441897248210984,1.3356856013243663,12.207207660822908,12.207207660822908,4.841080301141409,3.5
4.600613415122016,12.22272882739863,12.233343502189168,1.4547773858075095,1.3510509106262294,12.216610146717231,12.216610146717231,5.341080301141409,4.0
4.800640085344712,12.271180838473926,12.25209638975314,1.4699437480740913,1.3701070857608444,12.22601049418665,12.22601049418665,5.7384900145448245,4.5
5.0006667555674085,12.307948140002502,12.27894589336784,1.491063785796418,1.3846564176540972,12.235408610428777,12.235408610428777,5.2384900145448245,5.0
5.200693425790105,12.341263022053804,12.313476239478979,1.5177978657514613,1.3977778841157933,12.244804402663267,12.244804402663267,5.325802220215841,5.5
5.400720096012802,12.384518523272503,12.345337512260047,1.5422460651178966,1.4144859715761302,12.254197778132706,12.254197778132706,5.825802220215841,5.2941763106448345
5.600746766235498,12.421182079407735,12.370248855955769,1.5611735246316107,1.4285940871809144,12.263588644103544,12.263588644103544,5.325802220215841,4.7941763106448345
5.800773436458194,12.446918332062877,12.401588001810914,1.5847948690772973,1.438490803570522,12.272976907867006,12.272976907867006,4.825802220215841,5.2941763106448345
6.000800106680891,12.466904420003205,12.43372847795234,1.6088244383708483,1.4461211321270744,12.282362476740003,12.282362476740003,4.325802220215841,5.7941763106448345
6.200826776903587,12.476756796372218,12.469814138045678,1.6356644504260731,1.4498474111948407,12.291745258066053,12.291745258066053,3.8258022202158406,6.0
6.400853447126283,12.481308058129667,12.500852190124746,1.6584842665761559,1.4514949625334015,12.301125159216193,12.301125159216193,3.3258022202158406,5.5
6.6008801173489795,12.478919700015323,12.526742960415426,1.6772478100069221,1.4504713939316543,12.310502087589892,12.310502087589892,2.9493778346547272,5.0
6.800906787571676,12.488505367046319,12.541500394748823,1.6874317702966686,1.4538874453621822,12.319875950615973,12.319875950615973,3.4493778346547272,4.5
7.000933457794372,12.488897437179167,12.553615760700158,1.6955381168593902,1.4538212383561369,12.329246655753513,12.329246655753513,2.9493778346547272,4.0
7.200960128017068,12.49697771625002,12.560070827600152,1.6992896638027084,1.4566150565743046,12.338614110492768,12.338614110492768,3.4493778346547272,3.5
7.400986798239765,12.512020675297261,12.560286108689052,1.6982606607634345,1.4620025273675776,12.347978222356083,12.347978222356083,3.9216787519081175,3.0
7.601013468462462,12.517736388561264,12.551828811220572,1.690636250508263,1.4638949042895668,12.357338898898806,12.357338898898806,3.4216787519081175,2.5
7.801040138685158,12.51760216412758,12.553359963731639,1.690645064932031,1.4636039613672367,12.366696047710194,12.366696047710194,2.9216787519081175,3.0
8.001066808907854,12.510568211213691,12.545352339287,1.683419819258294,1.4607433594657555,12.376049576414337,12.376049576414337,2.4216787519081175,2.5
8.20109347913055,12.492792700339828,12.531099712341645,1.6715245629259068,1.4539026550593375,12.385399392671056,12.385399392671056,1.9216787519081175,2.0
8.401120149353247,12.485231690217336,12.523164841041266,1.6645303916928986,1.4509400815369091,12.394745404176833,12.394745404176833,2.4216787519081175,2.2079764364743886
8.601146819575943,12.486535442698287,12.525180197126142,1.665146453555909,1.4513168998152837,12.4040875186657,12.4040875186657,2.9216787519081175,2.7079764364743886
8.80117348979864,12.494052449178925,12.515186833324243,1.6566329732200076,1.454031747224326,12.413425643910166,12.413425643910166,3.4216787519081175,2.2079764364743886
9.001200160021336,12.506416785538654,12.499408753374698,1.6437654242505169,1.4585874153071434,12.422759687722127,12.422759687722127,3.9216787519081175,1.7079764364743886
9.201226830244032,12.522083797869882,12.486335541838194,1.633011820320899,1.464403187625207,12.432089557953766,12.432089557953766,4.421678751908118,2.2079764364743886
9.401253500466728,12.54805783825685,12.484945869559006,1.6311644585351353,1.474079101634613,12.441415162498469,12.441415162498469,4.921678751908118,2.7079764364743886
