Time [s],h1_Real [cm],h1_PINN [cm],h2_Real [cm],h2_PINN [cm]
0.05,12.35219665482018,12.346148,12.569857137963842,12.703799
0.1,12.537900054373226,12.352392,12.732426958747649,12.5701275
0.15000000000000002,12.49894617069396,12.445068,12.748293755323537,12.65017
0.2,12.486877920795486,12.463273,12.56808090182734,12.682144
0.25,12.505290868655761,12.46914,12.855915854139733,12.653281
0.30000000000000004,12.575539080587127,12.476531,12.640608803900866,12.693712
0.35000000000000003,12.41540854403686,12.49309,12.649278503377237,12.684384
0.4,12.220200956198003,12.481965,12.71797297971039,12.67901
0.45,12.345121969217384,12.448939,12.652500100608185,12.683849
0.5,12.505987315522145,12.437299,12.637079334643643,12.680274
0.55,12.419543316896107,12.444407,12.72700027168177,12.67559
0.6000000000000001,12.48353390457682,12.442184,12.722516029941172,12.680253
0.65,12.296365306724955,12.4459,12.63184275708353,12.683874
0.7000000000000001,12.469054768912482,12.4338665,12.639570463980686,12.679597
0.75,12.190888522582476,12.436466,12.75237053384733,12.676353
0.8,12.356860741688692,12.419161,12.568451028770946,12.681639
0.8500000000000001,12.353933660222637,12.414971,12.67374192986764,12.673922
0.9,12.323569723896004,12.41114,12.670307314254897,12.673855
0.9500000000000001,12.3097903083143,12.40585,12.674846746905393,12.673532
1.0,12.621437050436025,12.40029,12.646897730891963,12.673551
1.05,12.302084455556697,12.412714,12.67157013142232,12.671995
1.1,12.390909757783291,12.406816,12.726662467486126,12.6719055
1.1500000000000001,12.276012458330365,12.406032,12.623192739018673,12.674702
1.2000000000000002,12.35822762709035,12.399487,12.882167503371782,12.672018
1.25,12.479475176037022,12.397487,12.657168259698716,12.68217
1.3,12.227544830829125,12.401444,12.63417116081886,12.680973
1.35,12.405754498500182,12.393475,12.774509147200293,12.678796
1.4000000000000001,12.488189921331772,12.3941,12.533548621610404,12.683042
1.4500000000000002,12.435658687245239,12.398277,12.72848677658823,12.676399
1.5,12.44863239510511,12.399933,12.678924610272716,12.678605
1.55,12.405657142235631,12.402051,12.783185301471024,12.678605
1.6,12.333391831648802,12.402266,12.75626846409079,12.682916
1.6500000000000001,12.56413841429031,12.399472,12.610064510925286,12.685831
1.7000000000000002,12.223241824359555,12.406117,12.68994702250582,12.682749
1.75,12.54407880620959,12.398975,12.847358269827245,12.683016
1.8,12.360733933324855,12.404668,12.659784893269071,12.689349
1.85,12.257966789404506,12.40302,12.658604127522093,12.688169
1.9000000000000001,12.468945578718818,12.397541,12.493682200647005,12.686949
1.9500000000000002,12.49050735989126,12.400183,12.606245149582923,12.679629
2.0,12.495971106981827,12.403544,12.819535121402684,12.676868
