Tiempo [s],h1_Real [cm],h1_Ref [cm],h2_Real [cm],h2_Ref [cm],h3_Real [cm],h4_Real [cm],u1_Bomba1 [V],u2_Bomba2 [V]
0.0,12.401857547764227,14.0,12.700072777567287,14.0,1.7996759119650358,1.4006191293651005,3.2027772633352933,3.1983560003109837
0.05001250312578145,12.404856409736318,14.009427119229692,12.701933393021479,13.990572880770308,1.8007125902500984,1.4016653099252008,3.4023620007509394,3.398293165993452
0.1000250062515629,12.407267102950055,14.018854145370984,12.70455056703685,13.981145854629016,1.8023226820835663,1.4024891395665977,3.6058321352693845,3.5989469243982346
0.15003750937734434,12.411249190877273,14.028280985336398,12.70645973261678,13.971719014663602,1.8033900749759628,1.4039002865147943,3.803090583263655,3.79899377802587
0.2000500125031258,12.415210532079687,14.03770754604029,12.709540246971823,13.96229245395971,1.8053460315617862,1.4053013143953728,4.001845588827588,3.9990919602819877
0.25006251562890724,12.422270545617556,14.047133734399777,12.713275829822097,13.952866265600223,1.807795410978105,1.4078609700928557,4.201470031018319,4.199178513516032
0.30007501875468867,12.428241167505224,14.05655945733565,12.717874853385915,13.94344054266435,1.8108956309143294,1.4100079650980468,4.400524203219582,4.399266337434467
0.35008752188047015,12.434993487985029,14.065984621773302,12.722687526753681,13.934015378226698,1.814151083888474,1.4124437043713192,4.600110544214131,4.599265578306331
0.4001000250062516,12.442195654793263,14.075409134643632,12.728829361296151,13.924590865356368,1.8184105223448592,1.4150431036892772,4.800363255825426,4.799868345562749
0.450112528132033,12.451371602371035,14.08483290288398,12.733542438912878,13.91516709711602,1.8215721954399033,1.4183772986375516,4.999544866562993,4.9999203016076486
0.5001250312578145,12.460289135509973,14.094255833439034,12.740852396710626,13.905744166560966,1.8267022086045037,1.421608616480747,5.199212144020475,5.199778221145724
0.5501375343835959,12.470963340742845,14.103677833261756,12.74781522934742,13.896322166738244,1.8315558954710665,1.4254918346911558,5.399371957658147,5.399816889461901
0.6001500375093773,12.481844812206882,14.1130988093143,12.75597717386416,13.8869011906857,1.8373104378495733,1.4294453912189036,5.59950702876325,5.599954195588204
0.6501625406351588,12.49410056810327,14.122518668568928,12.76416715160811,13.877481331431072,1.8430725621539161,1.4339063382370811,5.799651866174743,5.799962443977513
0.7001750437609403,12.506850938570038,14.131937318008928,12.773484883090529,13.868062681991072,1.8496791095530334,1.4385442000577706,5.999805698016944,5.999969039855585
0.7501875468867217,12.519604933185045,14.141354664629539,12.782962052814057,13.858645335370461,1.85639152951673,1.443174440842772,5.999986646363791,5.999999757752055
0.8002000500125032,12.532230859874279,14.150770615438857,12.792424511764347,13.849229384561143,1.8630771590224258,1.4477476995915837,5.999986383713141,5.999996863622556
0.8502125531382846,12.544992274249218,14.160185077458769,12.801906320467223,13.839814922541231,1.8697620201762353,1.4523628531597794,5.999986294581497,6.0000006660419904
