Tiempo [s],h1_Real [cm],h1_Ref [cm],h2_Real [cm],h2_Ref [cm],h3_Real [cm],h4_Real [cm],u1_Bomba1 [V],u2_Bomba2 [V]
0.0,12.39949873155533,12.0,12.700415731563949,16.0,1.7999375704063811,1.3997348550789468,2.8002803982987743,3.1943156323800443
0.05001250312578145,12.397551982453741,12.0,12.702499336500216,16.0,1.80114591019084,1.3989277330126533,2.600572075822453,3.39870704496721
0.1000250062515629,12.3951377627655,12.0,12.704287130442827,16.0,1.8021285313944875,1.3979452901857814,2.4008240428013328,3.6017312619446775
0.15003750937734434,12.39176321780657,12.0,12.707630094445879,16.0,1.8042953097674972,1.3966025641133173,2.2007830191426807,3.8016805764868633
0.2000500125031258,12.387950098501024,12.0,12.711172122355533,16.0,1.8066123331039516,1.3950949190184811,2.0007128499884366,4.002407632738363
0.25006251562890724,12.384255777585134,12.0,12.715000772054973,16.0,1.8091461118098897,1.3936312812069196,1.8006411216093128,4.199973313977813
0.30007501875468867,12.378385948808917,12.0,12.719371471164816,16.0,1.8120912727256608,1.3913513803303208,1.6005584868336113,4.404250891399778
0.35008752188047015,12.371663856045997,12.0,12.724901693753896,16.0,1.8159180124129595,1.3887514279447388,1.4005046274481365,4.602246064372912
0.4001000250062516,12.363636771215516,12.0,12.730851232664556,16.0,1.8200619734933285,1.3856615438318078,1.2004355393318444,4.803236543744433
0.450112528132033,12.355417186686982,12.0,12.737323138885436,16.0,1.8246014994557236,1.3824988895643804,1.0003825158432509,5.000941122805876
0.5001250312578145,12.345824822243076,12.0,12.744272687424179,16.0,1.8295023293700778,1.3788208337076613,0.8003249754600279,5.199629851617603
0.5501375343835959,12.337082434556347,12.0,12.75185555984196,16.0,1.8348825829818316,1.3754606812270456,0.6002633506297773,5.399657261861478
0.6001500375093773,12.326636196397756,12.0,12.760316533451217,16.0,1.840928116488409,1.3714604578816327,0.4001951135757829,5.599733281574336
0.6501625406351588,12.315040391548628,12.0,12.769538469585267,16.0,1.8475494550405231,1.3670280286120857,0.20013091460157978,5.799811137669653
0.7001750437609403,12.303295256494787,12.0,12.778811892122638,16.0,1.854205929847435,1.3625384816214128,0.00024079208019846265,5.999905818070728
0.7501875468867217,12.291803540729552,12.0,12.788092211466052,16.0,1.8608635515612588,1.3581428382844192,-1.1457708747551695e-05,5.9997270281008435
0.8002000500125032,12.280040457420007,12.0,12.796892037703987,16.0,1.8671512934624113,1.3536444704424164,-5.4526454633755934e-06,5.9997361354692185
0.8502125531382846,12.269904112776675,12.0,12.805976712609011,16.0,1.8736520966744923,1.349755021609288,-3.4064642660109734e-06,5.999739101169396
0.900225056264066,12.25995230026575,12.0,12.815280613129342,16.0,1.8803152755857526,1.3459332357546612,0.20037947771743284,5.9999999755907005
0.9502375593898476,12.249718100285863,12.0,12.824526132680198,16.0,1.8869292936232642,1.3420040107995133,0.4002567738958158,6.0000004821669455
1.000250062515629,12.238522279585021,12.0,12.833806232762063,16.0,1.893565335860826,1.3377128747005758,0.2001350459545591,5.999745468022739
1.0502625656414104,12.227003137724566,12.0,12.84307380398837,16.0,1.900187850634429,1.3332994244889087,9.07086182070342e-05,5.999744386951334
1.1002750687671918,12.215677471690281,12.0,12.852328799708884,16.0,1.9067968890411544,1.3289575124864839,-9.927430822861439e-07,6.0000000742078905
1.1502875718929733,12.204686316534229,12.0,12.861571384092953,16.0,1.913392501808484,1.3247399683544796,-1.166840031287847e-05,5.99976325927498
1.2003000750187547,12.193181274528856,12.0,12.870763138278392,16.0,1.9199455372039858,1.3203287157719397,0.20098915978270734,6.000000243622013
1.2503125781445361,12.182361314224059,12.0,12.879538588392508,16.0,1.9261777986924953,1.3161734970991275,0.000477450878254721,5.9997427160857555
1.3003250812703175,12.171752634823154,12.0,12.888744399281292,16.0,1.932734174061813,1.3120965019347102,-8.020077979198143e-06,5.999753500860965
1.3503375843960992,12.159978577392492,12.0,12.897937757478042,16.0,1.9392773203518816,1.30758154944295,7.47811590917195e-06,5.999750419262133
1.4003500875218806,12.148583198412625,12.0,12.906771449566437,16.0,1.9455431339425961,1.3032079265655458,-1.023917743794802e-05,5.999751956776704
