Tiempo [s],h1_Real [cm],h2_Real [cm],h3_Real [cm],h4_Real [cm],h1_Ref [cm],h2_Ref [cm],v1_Bomba [V],v2_Bomba [V]
0.0,12.39122256144143,12.703034705232813,1.80080250820353,1.396404592167137,12.0,16.0,2.5,3.5
0.20002667022269635,12.372451986679177,12.716432263168336,1.809502433863853,1.38906687581167,12.0,16.0,2.0,4.0
0.4000533404453927,12.348753381821094,12.735297987266998,1.822348001694022,1.3798773270829359,12.0,16.0,1.5,4.5
0.600080010668089,12.316833412312494,12.760318917897507,1.839848965838325,1.367596237728574,12.0,16.0,1.0,5.0
0.8001066808907854,12.284399907251977,12.79076106123317,1.8614289429152737,1.355106852776398,12.0,16.0,0.9035012670496696,5.5
1.0001333511134818,12.246725023906452,12.825226251304617,1.886008331694544,1.340629997373632,12.0,16.0,0.5564449807081022,6.0
1.200160021336178,12.199146465447033,12.862007321587502,1.9122889400005594,1.3224213949870038,12.0,16.0,0.05644498070810222,6.0
1.4001866915588745,12.153738007655829,12.898835739604273,1.9385470319444584,1.3050126761772973,12.0,16.0,0.0,6.0
1.6002133617815708,12.108227675896568,12.932312742036688,1.962200890732739,1.2875557331162442,12.0,16.0,0.0,6.0
1.800240032004267,12.063951268665525,12.966485269349874,1.9863408777654814,1.2705551104488775,12.0,16.0,0.0,6.0
2.0002667022269636,12.019645683512039,13.002725842077918,2.012007566603733,1.2535344892308857,12.0,16.0,0.0,6.0
2.20029337244966,11.975103882159114,13.036825095631334,2.035996440048127,1.236417875441849,12.0,16.0,0.0,6.0
2.400320042672356,11.936887612099436,13.072678970195081,2.061272631715202,1.2216633004443476,12.0,16.0,0.5,6.0
2.6003467128950524,11.891692830464413,13.106195187800395,2.08472223428621,1.2042842001431389,12.0,16.0,0.0,6.0
2.800373383117749,11.847972633959623,13.138987294660236,2.1075887083815923,1.1874591627584627,12.0,16.0,0.0,6.0
3.0004000533404453,11.803424814148022,13.172187443797528,2.1307364691775352,1.1703259573609814,12.0,16.0,0.047823483528542814,6.0
3.2004267235631416,11.76649416707937,13.207272188602877,2.15528042627902,1.1560449511162036,12.0,16.0,0.5478234835285427,6.0
3.400453393785838,11.735189113327806,13.242183879830439,2.179637319963903,1.1438585798527934,12.0,16.0,0.8131077521268307,6.0
3.600480064008534,11.712582469588138,13.275687050036783,2.202855933621132,1.1349110126252928,12.0,16.0,1.3131077521268306,6.0
3.800506734231231,11.68903626862971,13.310299579392254,2.226848898160124,1.1255834035441548,12.0,16.0,1.21666473749629,6.0
4.000533404453927,11.658833777504134,13.344764302722972,2.2506662491875367,1.113737871492022,12.0,16.0,0.71666473749629,6.0
4.200560074676623,11.637400082071672,13.37659274497934,2.272417077729288,1.1051611145938136,12.0,16.0,1.21666473749629,6.0
4.40058674489932,11.614869217769387,13.410772381304861,2.2958953488750207,1.0961486070433208,12.0,16.0,1.157605164457268,6.0
4.600613415122016,11.598439709932936,13.44115000787203,2.3164119844597737,1.0893982478969544,12.0,16.0,1.657605164457268,6.0
4.800640085344712,11.584170415283307,13.475083463714364,2.3395660537033938,1.08342663975724,12.0,16.0,1.8452566020175296,6.0
5.0006667555674085,11.56240655860547,13.507706497143204,2.3616528083911494,1.0746160425262876,12.0,16.0,1.3452566020175296,6.0
5.200693425790105,11.542603110836694,13.538921290176667,2.3826105296704374,1.0665201947502,12.0,16.0,1.4890223818727013,6.0
5.400720096012802,11.512681412992356,13.572448419844795,2.4052824541531517,1.0546161133722403,12.0,16.0,0.9890223818727013,6.0
5.600746766235498,11.48504279810068,13.605356372057544,2.4274416754788546,1.0435597737739197,12.0,16.0,0.9520439347877077,6.0
5.800773436458194,11.47036563309487,13.637278501603147,2.448796523901187,1.0373454928161958,12.0,16.0,1.4520439347877077,6.0
6.000800106680891,11.462757896315,13.670402894995828,2.47099296709956,1.033747761208113,12.0,16.0,1.9520439347877077,6.0
6.200826776903587,11.464865291496274,13.70344275174628,2.4930313760223557,1.033744469952682,12.0,16.0,2.4520439347877074,6.0
6.400853447126283,11.456732696494795,13.736397136835754,2.5149135684924357,1.0298539869246646,12.0,16.0,1.9520439347877074,6.0
6.6008801173489795,11.451312350924907,13.769255032327262,2.5366413257518645,1.026940693024415,12.0,16.0,2.082227106381818,6.0
6.800906787571676,11.452313722424224,13.801216436543198,2.5575982923601193,1.0263898220206245,12.0,16.0,2.582227106381818,6.0
7.000933457794372,11.463362160903884,13.83393344346438,2.579026698882098,1.029548122153642,12.0,16.0,3.082227106381818,6.0
