Time [s],h3_Real [cm],h3_PINN [cm],h4_Real [cm],h4_PINN [cm]
4.75,1.7389095,1.7384429,1.4128827,1.4126834
4.800000000000001,1.7383825,1.7376397,1.4147315,1.4118192
4.8500000000000005,1.7361681,1.7371151,1.4144198,1.4136609
4.9,1.7345328,1.7349017,1.4168537,1.4133413
4.95,1.729943,1.7332728,1.4160144,1.4157629
5.0,1.7325577,1.7286801,1.4172237,1.4149159
5.050000000000001,1.7311916,1.7313114,1.4195964,1.4161278
5.1000000000000005,1.7275139,1.7299546,1.4161988,1.4184957
5.15,1.7297654,1.7262604,1.416443,1.4150897
5.2,1.7288259,1.7285217,1.4135023,1.4153417
5.25,1.7329087,1.7275711,1.4123962,1.4123968
5.300000000000001,1.7316353,1.7316548,1.4115307,1.4112977
5.3500000000000005,1.7311558,1.7303691,1.4110407,1.4104334
5.4,1.7300521,1.7298788,1.4095956,1.4099436
5.45,1.731466,1.7287716,1.4111779,1.4084951
5.5,1.7363952,1.730188,1.4090511,1.410082
5.550000000000001,1.7315282,1.7351061,1.4087625,1.4079688
5.6000000000000005,1.7295227,1.730233,1.4110876,1.4076654
5.65,1.7315153,1.7282249,1.4127585,1.4099835
5.7,1.7245955,1.7302308,1.4138185,1.411656
5.75,1.7236674,1.7233062,1.4106319,1.4126942
5.800000000000001,1.7280344,1.7223619,1.410943,1.4095123
5.8500000000000005,1.7337722,1.7267255,1.4134089,1.409834
5.9,1.7303305,1.7324773,1.4083393,1.4123127
5.95,1.7284132,1.7290128,1.4073737,1.4072376
6.0,1.7265817,1.7270837,1.4039243,1.4062735
6.050000000000001,1.7278715,1.7252465,1.4031701,1.4028221
6.1000000000000005,1.7337453,1.7265341,1.4041203,1.4020747
6.15,1.7278172,1.7324152,1.4033494,1.403036
6.2,1.7216734,1.7264905,1.4056182,1.4022436
6.25,1.7200881,1.7203463,1.4047418,1.4044958
6.300000000000001,1.7193595,1.7187445,1.4033818,1.403618
6.3500000000000005,1.71722,1.7180161,1.4068648,1.4022557
6.4,1.7178398,1.7158817,1.4101506,1.4057257
6.45,1.7172568,1.716508,1.4153926,1.4090149
6.5,1.7192607,1.7159473,1.4137634,1.4142493
6.550000000000001,1.719308,1.7179444,1.4122181,1.4126197
6.6000000000000005,1.717273,1.7179744,1.4121075,1.4110749
6.65,1.7113944,1.7159386,1.4130368,1.4109575
6.7,1.7164272,1.7100805,1.4167106,1.4118623
6.75,1.7170565,1.7151188,1.4186993,1.4155455
6.800000000000001,1.713621,1.7157654,1.4193809,1.4175289
6.8500000000000005,1.7169666,1.7123383,1.4214165,1.4181948
6.9,1.7136414,1.7156882,1.4241118,1.4202393
6.95,1.7127119,1.7123638,1.4211285,1.4229273
7.0,1.713655,1.7114192,1.4212487,1.4199512
7.050000000000001,1.7136039,1.712363,1.4266548,1.4200686
7.1000000000000005,1.7125669,1.7123214,1.4232119,1.4254738
7.15,1.7156353,1.7112757,1.4238784,1.422041
7.2,1.7128522,1.7143499,1.4242574,1.422719
7.25,1.7082633,1.711566,1.4302247,1.4230859
7.300000000000001,1.7054728,1.7069993,1.4300232,1.4290352
7.3500000000000005,1.7051115,1.7042044,1.4362866,1.4288253
7.4,1.7042887,1.7038653,1.4332722,1.4350804
7.45,1.7021471,1.7030183,1.4330202,1.43207
7.5,1.6988426,1.7008814,1.432323,1.431808
7.550000000000001,1.7050741,1.6975735,1.4324274,1.431105
7.6000000000000005,1.7093847,1.7038113,1.4348056,1.4312243
7.65,1.7082995,1.7081174,1.431996,1.4336185
7.7,1.7039391,1.7070224,1.4367445,1.4308071
7.75,1.7019144,1.7026854,1.4395194,1.4355388
7.800000000000001,1.7005582,1.7006589,1.4363321,1.4383068
7.8500000000000005,1.7004528,1.6992921,1.4393936,1.4351175
7.9,1.7010171,1.6992075,1.4404758,1.4381734
7.95,1.7000716,1.6997726,1.4366535,1.4392598
8.0,1.6980201,1.6988077,1.4373757,1.4354415
8.05,1.6991357,1.6967609,1.44119,1.4361533
8.1,1.6997532,1.6978875,1.4364856,1.4399645
8.15,1.6970255,1.6984826,1.4378759,1.4352704
8.200000000000001,1.6924663,1.695757,1.4300334,1.4366527
8.25,1.695622,1.6911736,1.4307661,1.4288013
8.3,1.6951615,1.6943259,1.4294751,1.4295454
8.35,1.6927234,1.6938641,1.4264084,1.4282516
8.4,1.6951623,1.6914201,1.4308175,1.4251773
8.450000000000001,1.6985974,1.6938853,1.4332252,1.429582
8.5,1.697056,1.6973292,1.435883,1.4320023
8.55,1.6969886,1.6958026,1.435178,1.4346514
8.6,1.6926442,1.6957234,1.434617,1.4339507
8.65,1.6923976,1.6913717,1.4366498,1.433383
8.700000000000001,1.6880698,1.6911149,1.4348589,1.4354169
8.75,1.693666,1.686781,1.4334722,1.4336127
8.8,1.6882609,1.6923763,1.4323914,1.4322412
8.85,1.6872077,1.6869605,1.4315162,1.4311492
8.9,1.6874061,1.6859026,1.4280117,1.4302717
8.950000000000001,1.6888281,1.6860867,1.4321889,1.4267702
9.0,1.6850299,1.687524,1.4319594,1.4309453
9.05,1.6904815,1.6837225,1.4307448,1.4307083
9.1,1.6894635,1.6891773,1.4333081,1.4295132
9.15,1.6937379,1.6881622,1.4305469,1.4320741
9.200000000000001,1.6892759,1.6924295,1.4308279,1.4293238
9.25,1.6893246,1.6879815,1.4336876,1.4295882
9.3,1.6885574,1.688037,1.4302384,1.4324447
9.35,1.6858456,1.6872491,1.4274949,1.4289962
9.4,1.6823198,1.6845317,1.4294717,1.4262438
9.450000000000001,1.6816459,1.6810167,1.4277399,1.4282136
9.5,1.6809784,1.6803354,1.4223132,1.4264817
9.55,1.6788111,1.6796417,1.4194072,1.4210621
9.600000000000001,1.6749727,1.677456,1.4170747,1.4181529
9.65,1.6761421,1.6736109,1.4157416,1.4158154
9.700000000000001,1.6803414,1.6747593,1.411417,1.4144942
9.75,1.6821195,1.6789405,1.410768,1.4101862
9.8,1.6805168,1.6807162,1.403868,1.4095467
9.850000000000001,1.6788005,1.6790903,1.4009688,1.4026557
9.9,1.6765984,1.6773643,1.4021329,1.3997575
9.950000000000001,1.6780591,1.675164,1.4055458,1.4009115
10.0,1.6731693,1.6766485,1.4060237,1.4043195
10.05,1.6690427,1.6717626,1.411158,1.404786
10.100000000000001,1.6723317,1.6676568,1.4090033,1.4099011
10.15,1.6707969,1.670944,1.4071884,1.407757
10.200000000000001,1.6742663,1.6693956,1.4118419,1.4059383
10.25,1.6769246,1.6728785,1.4159585,1.4105966
10.3,1.677809,1.6755581,1.4143735,1.4147172
10.350000000000001,1.6796502,1.6764381,1.4115542,1.4131364
10.4,1.6828514,1.6782718,1.4117473,1.410326
10.450000000000001,1.6816908,1.6814685,1.4071146,1.4105314
10.5,1.6787006,1.6802808,1.4090983,1.4059061
10.55,1.6786613,1.6773013,1.4066721,1.407871
10.600000000000001,1.6796827,1.6772442,1.4063057,1.4054512
10.65,1.6716774,1.6782606,1.4039681,1.4050915
